genus,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27
Unclassified Thermoanaerobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyadobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Chryseobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Fusobacteriota,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulforegulaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfocicer,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunxiuqinia,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorobium,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermoflexibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22E-05,0,0,0,0
Aureimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04E-05,1.19E-05,0,0,0,0,0,0,0,0,0,0,0,0
Ichthyenterobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38E-05,0,0,0,0,0,0,0,0,0,0,0,0
Pseudolabrys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38E-05,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Promineifilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38E-05,0,0,0,0,0,0,0,0,0,0,0,0
Echinicola,0,0,0,0,0,0,0,0,0,2.38E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Gemmatimonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38E-05,0,0,0,0,0,0,0,0,0,0,0,0
Oricola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E-05,0,0,0,0,0,0,0,0,0,0,0
Pelagihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Rhodothermota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E-05,0,0,0,0,0,0,0,0,0,0,0
Woeseia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Balneolales,0,0,0,0,0,0,0,0,0,0,2.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spirochaetota bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-06,0,0,0,0,0,2.11E-05,0,0,0,0,0
Unclassified Candidatus Gastranaerophilales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68E-05,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Limnocylindrales bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75E-05
Unclassified Acholeplasmatales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75E-05
Helicobacter,0,0,0,0,0,2.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Sphaerochaetaceae,0,0,0,0,0,2.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
