genus,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30
Phycisphaerae bacterium (no genus in NCBI),0,0,0,0,0,0,1.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23E-05,0,0,0,0,0,0,0
Unclassified Micrococcales,5.24E-06,0,1.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08E-06,0,0,0,0,0,9.99E-06,0,0,0,0,0
Gimesia,2.62E-06,0,0,0,0,0,0,0,0,0,0,0,0,1.25E-05,1.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Riflebacteria,0,0,5.52E-06,0,0,0,0,2.07E-05,0,0,0,0,0,0,0,0,0,0,0,1.32E-06,0,0,0,0,4.99E-06,0,0,0,0,0
Unclassified Anaerolineales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfogranum,0,3.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Gaiellaceae,0,0,1.10E-05,2.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Desulfarculia,1.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermoflexibacter,0,0,0,0,0,3.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limihaloglobus,0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Elusimicrobiota,0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
