genus,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30
Unclassified Chitinibacteraceae,0,0,2.76E-05,0,3.05E-05,0,0,1.15E-05,2.13E-05,0,0,0,3.44E-05,6.26E-05,0,0,9.83E-06,3.24E-05,1.63E-05,2.91E-05,0,0,2.46E-05,1.97E-05,9.99E-06,4.32E-05,0,0,0,0
Cognatishimia,0,0,2.21E-05,0,1.52E-05,0,0,0,0,0.000171091,0,4.66E-05,0,3.76E-05,0,0,0,0,0,2.65E-06,0,0,0,0,5.99E-05,2.16E-05,0,0,0,0
Marinobacter,2.10E-05,0.000103427,0,5.87E-05,0,0,0.000139992,2.30E-06,0,0,0,0,0,0,4.99E-05,0,0,0,0,2.65E-06,0,0,0,0,0,0,0,0,0,0
Henriciella,5.24E-06,3.45E-05,1.10E-05,0,0,6.99E-05,0,0,5.32E-06,0,0,0,1.72E-05,0,0,5.61E-05,0,2.76E-05,0,3.97E-06,0,0,4.92E-05,0,0,1.08E-05,0,4.33E-05,4.46E-05,0
Geomonas,0,0,0,0,0,0,0,1.84E-05,0,5.70E-05,5.39E-05,0,6.88E-05,0,0,0.000140367,0,0,0,0,0,0,0,0,0,0,0,0,4.46E-05,0
Pseudodesulfovibrio,0,3.45E-05,0,5.87E-05,0,1.75E-05,1.75E-05,0,0,0,2.69E-05,1.17E-05,0,0,4.16E-05,5.61E-05,0,0,8.17E-06,5.30E-06,2.94E-05,0,0,0,0,1.08E-05,0,0,4.46E-05,2.48E-05
Clostridia bacterium (no genus in NCBI),0,0,0,2.35E-05,0,6.99E-05,8.75E-05,0,0,0,5.39E-05,0,3.44E-05,1.25E-05,0,0,0,8.11E-06,0,0,0,7.47E-05,0,3.29E-06,2.00E-05,0,0,0,0,0
Unclassified Rhodanobacteraceae,0,3.45E-05,1.10E-05,0,0,3.49E-05,0,0,0,0,0,0,3.44E-05,0,0,0,1.97E-05,9.73E-06,0,2.65E-06,0,7.47E-05,0,0,0,0,0.000128222,4.33E-05,0,0
Winogradskyella,0,1.72E-05,1.66E-05,1.17E-05,0,0.000104802,0,2.30E-06,0,0,0,0,3.44E-05,0,0,0.000140367,4.91E-06,3.24E-06,8.17E-06,1.32E-06,0,0,0,0,9.99E-06,2.16E-05,0,0,2.23E-05,0
Acidimicrobiaceae bacterium (no genus in NCBI),1.31E-05,0,5.52E-06,0,0,0,0,4.59E-06,0,0,8.08E-05,0,5.16E-05,0,0.000108178,0,0,1.62E-06,0,0,0.000117753,0,6.15E-06,0,9.99E-06,0,0,0,0,0
Unclassified Fusobacteriia,5.24E-06,0,0,0,0,0,0,0,0,0,0,0,0,1.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000384665,0,0,0
Unclassified Hyphomonadaceae,0,0,1.66E-05,4.69E-05,1.52E-05,5.24E-05,5.25E-05,0,5.32E-06,0,2.69E-05,0,1.72E-05,4.39E-05,3.33E-05,0,9.83E-06,3.24E-06,2.04E-06,9.27E-06,2.94E-05,0,0,0,0,0,0,4.33E-05,0,0
Unclassified Myxococcales,0,0.000103427,0,0,1.52E-05,6.99E-05,0,0,0,0,5.39E-05,0,1.72E-05,0,8.32E-06,0.000112293,9.83E-06,1.62E-06,0,0,0,0,0,3.29E-06,0,2.16E-05,0,0,0,0
Unclassified Coriobacteriales,0.000424472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algoriphagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000427447,3.24E-06,0,0,0,0,0,0,0,0,0,0,0,0
Listeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000426006,0,0,4.91E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Bacteriovoracales,5.24E-06,6.90E-05,1.10E-05,2.35E-05,1.52E-05,3.49E-05,0,0,0,0.000114061,2.69E-05,1.17E-05,0,1.25E-05,0,5.61E-05,0,4.86E-06,0,1.32E-06,4.42E-05,0,0,3.29E-06,0,0,0,0,0,0
Haemophilus,5.24E-06,6.90E-05,4.41E-05,0,0,0,0,3.91E-05,2.13E-05,0,0,0,0,1.25E-05,1.66E-05,0,0,1.30E-05,2.45E-05,3.18E-05,0,0,1.23E-05,3.95E-05,4.99E-05,6.48E-05,0,0,0,0
Unclassified Rhizobiaceae,0,0,0,0,1.52E-05,0,0,0,0,0,8.08E-05,0,1.72E-05,0,1.66E-05,0.00016844,1.97E-05,2.27E-05,2.04E-05,7.94E-06,4.42E-05,0,1.23E-05,3.29E-06,1.50E-05,0,0,0,0,0
Unclassified Saprospirales,2.62E-06,0,5.52E-06,4.69E-05,1.52E-05,1.75E-05,1.75E-05,6.89E-06,5.32E-06,0,0,0,0,6.26E-06,0,0.000140367,9.83E-06,3.24E-06,4.08E-06,1.32E-06,2.94E-05,0,0,3.29E-06,4.00E-05,0,0,4.33E-05,0,4.96E-05
Brachyspira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000451066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Victivallales,0,0,5.52E-06,0,0,3.49E-05,3.50E-05,0,0,0,5.39E-05,1.17E-05,0,0,0,0.000112293,4.91E-06,1.62E-06,1.22E-05,5.30E-06,0,0,2.46E-05,0,0,2.16E-05,0.000128222,0,0,0
Pseudomonadales bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,6.99E-05,0,0,1.66E-05,0,0,8.11E-06,0,0,0.000132472,7.47E-05,0,0,0,0.000151149,0,0,0,0
Unclassified Candidatus Neomarinimicrobiota,1.31E-05,3.45E-05,0,2.35E-05,0,0.000139736,0,0,0,0.000114061,0,0,0,1.25E-05,0,5.61E-05,1.97E-05,9.73E-06,0,1.99E-05,0,0,0,0,0,1.08E-05,0,0,0,0
Unclassified Melioribacteraceae,0,0,5.52E-06,0.000152579,0,3.49E-05,0,0,0,0,0,2.33E-05,0,2.51E-05,2.50E-05,0,4.91E-06,3.24E-06,2.04E-06,2.65E-06,0,0,0,0,9.99E-06,1.08E-05,6.41E-05,6.49E-05,0,2.48E-05
Aequorivita,0,0,0,4.69E-05,0,0.000192136,1.75E-05,2.30E-06,0,0,0,0,0,0,1.66E-05,0,1.97E-05,3.24E-06,2.04E-06,3.97E-06,0,0,0,3.29E-06,9.99E-06,0,0,8.66E-05,0,4.96E-05
Unclassified Chloroflexia,2.62E-05,0,0.000215166,0.000117368,0,0,0,8.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08E-05,0,0,0,0
Planctomycetales bacterium (no genus in NCBI),1.05E-05,0,3.31E-05,0,0,0.000104802,0.000157491,0,0,0,0,0,0,3.76E-05,2.50E-05,0,0,0,0,0,0,0,1.84E-05,0,2.50E-05,4.32E-05,0,0,0,0
Unclassified Nostocales,0,3.45E-05,3.31E-05,0,1.52E-05,0,0,0,0,0,5.39E-05,0,3.44E-05,6.26E-06,0,0,0,4.86E-06,1.02E-05,0,2.94E-05,0,0,6.58E-06,0,2.16E-05,0.000128222,0,4.46E-05,4.96E-05
Desulfobacter,1.05E-05,0,5.52E-06,3.52E-05,0,6.99E-05,3.50E-05,9.19E-06,5.32E-06,2.85E-05,5.39E-05,0,3.44E-05,6.26E-06,4.16E-05,5.61E-05,0,4.86E-06,1.02E-05,0,2.94E-05,0,0,3.29E-06,3.50E-05,0,0,0,0,0
Silicimonas,0,0,0,0,0,0,1.75E-05,0,0,0,5.39E-05,1.17E-05,0,0,7.49E-05,0,0,0,4.08E-06,2.65E-06,2.94E-05,0.00022396,0,0,9.99E-06,0,0,0,0,4.96E-05
Enterovibrio,1.05E-05,0,0,4.69E-05,1.52E-05,8.73E-05,0,4.59E-06,1.60E-05,0,5.39E-05,1.17E-05,0,2.51E-05,5.82E-05,0,4.91E-06,0,0,1.06E-05,2.94E-05,0,0,0,0,0,6.41E-05,4.33E-05,0,0
Unclassified Candidatus Paceibacterota,0,0,0,0,0,0,0,3.22E-05,0,0,2.69E-05,0,0,0,0.00017475,0,0,0,0,0,0.000206067,0,0,0,0,0,0,0,4.46E-05,0
Unclassified Chloroflexaceae,1.57E-05,0,9.93E-05,0,0,6.99E-05,0,2.76E-05,0,2.85E-05,0,0,1.72E-05,6.26E-06,0,0,0,3.24E-06,0,1.32E-06,0,0,0,9.87E-06,9.99E-06,0,0.000128222,4.33E-05,0,2.48E-05
Desulfobacula,6.81E-05,0.000103427,1.66E-05,0,0,8.73E-05,0,0,0,0,2.69E-05,1.17E-05,0,6.26E-06,1.66E-05,0,0,0,2.04E-06,7.94E-06,2.94E-05,3.73E-05,0,0,9.99E-06,0,6.41E-05,0,0,0
Unclassified Woeseiaceae,0,0,1.10E-05,7.04E-05,0,0.000139736,0,0,0,0,8.08E-05,1.17E-05,0,1.25E-05,0,0,0,1.62E-06,4.08E-06,0,4.42E-05,3.73E-05,0,0,0,2.16E-05,6.41E-05,0,0,0
Erythrobacter,2.62E-06,0,1.10E-05,4.69E-05,7.62E-06,1.75E-05,3.50E-05,0,0,8.55E-05,2.69E-05,1.17E-05,0,0,8.32E-06,0,1.97E-05,1.62E-06,0,1.32E-06,2.94E-05,0,6.15E-06,6.58E-06,4.99E-06,0,0.000128222,0,0,4.96E-05
Unclassified Erwiniaceae,5.24E-06,0,1.10E-05,0,4.57E-05,0,0,3.22E-05,3.19E-05,0,0,0,0,5.01E-05,1.66E-05,0,1.97E-05,3.73E-05,4.90E-05,3.71E-05,0,0,6.15E-05,4.60E-05,5.99E-05,2.16E-05,0,0,0,0
Unclassified Oxalobacteraceae,0,0.000103427,4.41E-05,3.52E-05,0,0,7.00E-05,0,0,0.000114061,0,0,3.44E-05,0,1.66E-05,0,9.83E-06,0,0,0,0,0,0,0,0,0,0,2.16E-05,8.91E-05,0
Coleofasciculus,0,0,5.52E-05,0,6.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,6.49E-06,0,1.85E-05,0,0.00033594,0,0,0,6.48E-05,0,0,0,0
Unclassified Ignavibacteria,5.24E-06,0,1.66E-05,0,0,5.24E-05,7.00E-05,0,0,0,2.69E-05,0,8.60E-05,0,6.66E-05,5.61E-05,0,0,0,0,0,0,0,0,2.00E-05,2.16E-05,0,0.000129859,0,0
Unclassified Francisellaceae,1.05E-05,0,0,7.04E-05,0,3.49E-05,0,4.59E-06,1.06E-05,8.55E-05,0,2.33E-05,0,1.25E-05,0,0,1.97E-05,1.46E-05,8.17E-06,2.65E-06,2.94E-05,0,1.23E-05,0,0,2.16E-05,0.000128222,0,0,7.45E-05
Unclassified Bacteroidaceae,0,0.000103427,1.10E-05,0,0,0,3.50E-05,4.59E-06,0,5.70E-05,0,4.66E-05,3.44E-05,0,1.66E-05,0,9.83E-06,3.24E-06,0,0,0,3.73E-05,1.23E-05,0,0,2.16E-05,0,0,0,0.000173775
Anaplasma,0,3.45E-05,0,0,3.05E-05,0,3.50E-05,4.59E-06,0,5.70E-05,0,0,3.44E-05,8.77E-05,0,0,0,3.24E-06,4.08E-06,5.30E-06,0,3.73E-05,0,6.58E-06,9.99E-06,2.16E-05,0.000128222,0,4.46E-05,2.48E-05
Mycobacteroides,0,0,0,4.69E-05,7.62E-06,0,5.25E-05,1.38E-05,1.06E-05,0,5.39E-05,2.33E-05,5.16E-05,1.88E-05,1.66E-05,2.81E-05,4.91E-06,0,4.08E-06,0,0,9.33E-05,0,3.29E-06,2.50E-05,0,0,4.33E-05,2.23E-05,4.96E-05
Unclassified Ignavibacteriaceae,0,0,0,0,3.05E-05,0.000122269,0.000104994,0,0,0,2.69E-05,0,6.88E-05,0,0,0.000112293,6.88E-05,0,0,0,0,0,0,0,0,0,0,4.33E-05,0,0
Neptuniibacter,0,0,1.10E-05,0.000152579,0,1.75E-05,3.50E-05,0,5.32E-06,0,0,2.33E-05,0.00013753,0,3.33E-05,8.42E-05,0,0,0,2.65E-06,0,0,0,3.29E-06,4.99E-06,1.08E-05,0,2.16E-05,4.46E-05,0
Enterococcus,5.24E-06,3.45E-05,0,0,0,0,0,0,1.06E-05,0,0,0,0,0.00048239,0,0,1.97E-05,1.62E-06,0,2.65E-06,0,0,3.69E-05,0,0,0,0,0,0,0
Unclassified Dehalococcoidia,0,0,3.31E-05,5.87E-05,0,0,7.00E-05,0,1.60E-05,0.000142576,0,5.83E-05,0,0,0,0,0,1.78E-05,4.08E-06,5.30E-06,4.42E-05,0,0,6.58E-06,0,0,0,0,4.46E-05,9.93E-05
Unclassified Lentisphaerota,0,1.72E-05,2.76E-05,0.000105631,1.52E-05,0,3.50E-05,0,0,0.000114061,5.39E-05,1.17E-05,3.44E-05,0,0,2.81E-05,9.83E-06,3.24E-06,4.08E-06,1.19E-05,1.47E-05,5.60E-05,0,0,1.50E-05,0,0,0,4.46E-05,0
Unclassified Desulfobacteria,6.03E-05,3.45E-05,5.52E-06,0,0,0,0,4.59E-06,0,5.70E-05,2.69E-05,1.17E-05,3.44E-05,0,3.33E-05,0,2.95E-05,3.24E-06,6.12E-06,2.65E-06,1.47E-05,9.33E-05,0,0,9.99E-06,2.16E-05,0,2.16E-05,0.000133687,0
Unclassified Thermoanaerobaculia,7.86E-06,5.17E-05,0,2.35E-05,0,6.99E-05,0,0,0,0,8.08E-05,0,0,2.51E-05,3.33E-05,2.81E-05,0,3.24E-06,2.04E-06,7.94E-06,4.42E-05,1.87E-05,0,0,0,1.08E-05,0.000128222,0,0,7.45E-05
Unclassified Magnetococcales,1.05E-05,0,1.10E-05,4.69E-05,1.52E-05,6.99E-05,0.00017499,4.59E-06,1.06E-05,5.70E-05,5.39E-05,0,0,0,3.33E-05,0,1.97E-05,0,0,7.94E-06,0,1.87E-05,0,0,9.99E-06,2.16E-05,0,0,0,4.96E-05
Cyclobacteriaceae bacterium (no genus in NCBI),5.24E-06,0,0,0,0,3.49E-05,0,0,1.06E-05,5.70E-05,0,0,3.44E-05,0,0,0,0,0,0,0,0,3.73E-05,0,3.29E-06,9.99E-06,0,0.000384665,0,0,4.96E-05
Unclassified Acholeplasmatales,0,0,1.10E-05,0,9.90E-05,3.49E-05,0,4.59E-06,1.06E-05,0,0.000296177,0,0,0,0,0,0,4.86E-06,0,2.65E-06,1.47E-05,0,0,3.29E-06,9.99E-06,0,0,0,8.91E-05,4.96E-05
Unclassified Spirochaetaceae,5.24E-06,0,1.10E-05,4.69E-05,0,0,3.50E-05,5.28E-05,0,0,5.39E-05,2.33E-05,0,0,4.99E-05,0,0,0,0,0,0,0.000186633,9.84E-05,0,0,0,0,0,0,7.45E-05
Phycisphaeraceae bacterium (no genus in NCBI),0,0,5.52E-06,0.000129105,1.52E-05,3.49E-05,0.000122493,0,2.13E-05,8.55E-05,0,0,0,0,1.66E-05,0,2.95E-05,1.14E-05,0,2.65E-06,8.83E-05,0,0,0,1.50E-05,1.08E-05,0,0,0,4.96E-05
Myxococcales bacterium (no genus in NCBI),0,0,0,0.000211263,0,0,0,0,0,5.70E-05,0,0,6.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49E-05,8.91E-05,0.00014895
Unclassified Yersiniaceae,5.24E-06,0,5.52E-05,2.35E-05,3.05E-05,0,0,5.97E-05,7.45E-05,0,0,0,0,1.25E-05,0,5.61E-05,9.83E-06,4.38E-05,3.27E-05,6.09E-05,0,3.73E-05,4.92E-05,3.29E-05,4.00E-05,2.16E-05,0,0,0,0
Seonamhaeicola,0,0,0,1.17E-05,0,3.49E-05,1.75E-05,0,0,0,0,0,0,0,0,0.000393027,9.83E-06,0,0,0,0,3.73E-05,0,0,0,0,0.000128222,0,0,2.48E-05
Labilibacter,0,0,0.000165513,0.000140842,0,3.49E-05,7.00E-05,9.19E-06,1.06E-05,2.85E-05,2.69E-05,0,0,0,5.82E-05,5.61E-05,1.47E-05,0,0,0,0,0,0,0,9.99E-06,0,0,0,0,4.96E-05
Unclassified Aeromonadaceae,2.62E-05,0.00015514,0,0,0,0,0,0,0,0,0,0.000384687,0,0,4.99E-05,0,1.97E-05,0,0,2.65E-06,0,3.73E-05,0,0,0,0,0,0,0,0
Fulvivirgaceae bacterium (no genus in NCBI),0,0,0,0,0,0.000174669,0,0,0,0.000114061,0.000161551,0,3.44E-05,0,1.66E-05,5.61E-05,0,3.24E-06,1.63E-05,0,2.94E-05,0,6.15E-06,6.58E-06,9.99E-06,0,6.41E-05,0,0,0
Unclassified Verrucomicrobiia,1.05E-05,6.90E-05,0,2.35E-05,0,0,0.000104994,9.19E-06,1.06E-05,8.55E-05,0,0,0,3.13E-05,1.66E-05,5.61E-05,0,0,4.08E-06,1.06E-05,0,7.47E-05,0,0,9.99E-06,0,0.000128222,0,0,4.96E-05
Agarilytica,3.41E-05,0,0,3.52E-05,0,8.73E-05,3.50E-05,0,0,0,5.39E-05,2.33E-05,0,0,1.66E-05,2.81E-05,0.000176875,1.62E-06,0,0,2.94E-05,0,0,0,0,0,0,0,0,0.000173775
Unclassified Candidatus Saccharibacteria,0,0,1.10E-05,0.000164315,9.14E-05,0,0,3.22E-05,0,0.000114061,0,0,0,0,1.66E-05,0,1.47E-05,1.62E-06,2.04E-06,0,0,0,0,0,0,2.16E-05,0,0,0.000178249,4.96E-05
Oenococcus,0,0,0,0.000117368,0,0.000139736,0,4.59E-06,0,8.55E-05,2.69E-05,2.33E-05,3.44E-05,6.26E-06,3.33E-05,0.000112293,0,1.62E-06,0,3.97E-06,0,5.60E-05,0,0,0,1.08E-05,0,0,4.46E-05,0
Unclassified Acidaminobacteraceae,1.05E-05,1.72E-05,5.52E-06,5.87E-05,1.52E-05,5.24E-05,7.00E-05,0,5.32E-06,2.85E-05,0.000134626,0,0,1.25E-05,0,2.81E-05,0,0,2.04E-06,0,2.94E-05,0,6.15E-06,0,0,1.08E-05,0.000128222,0,0,9.93E-05
Proteus,0,3.45E-05,2.21E-05,8.22E-05,7.62E-06,5.24E-05,0,0,1.06E-05,5.70E-05,8.08E-05,1.17E-05,3.44E-05,2.51E-05,2.50E-05,2.81E-05,4.91E-06,6.49E-06,6.12E-06,3.97E-06,2.94E-05,0,6.15E-06,0,1.50E-05,0,0,8.66E-05,8.91E-05,2.48E-05
Acinetobacter,1.31E-05,0,3.31E-05,0,0,0,3.50E-05,4.59E-06,0,0,5.39E-05,2.33E-05,0,0.00016915,8.32E-05,5.61E-05,1.97E-05,2.27E-05,0,1.06E-05,0.000117753,0,3.69E-05,4.60E-05,9.99E-06,0,0,2.16E-05,0,0
Zymobacter,0,0,0,7.04E-05,0,0.000174669,5.25E-05,4.59E-06,1.06E-05,0.000171091,0,0,6.88E-05,3.13E-05,0,0,0,0,4.08E-06,1.19E-05,0,1.87E-05,1.23E-05,0,0,0,0,4.33E-05,6.68E-05,2.48E-05
Citrobacter,2.62E-06,0,2.76E-05,0,0,0,0,2.30E-06,1.06E-05,0,0,0,0,0.000595156,8.32E-06,0,0,1.62E-05,4.08E-06,5.30E-06,4.42E-05,0,2.46E-05,1.32E-05,2.00E-05,0,0,0,0,0
Escherichia,4.72E-05,3.45E-05,1.66E-05,1.17E-05,0,6.99E-05,7.00E-05,4.59E-06,1.06E-05,0,0,5.83E-05,0,5.01E-05,4.99E-05,2.81E-05,4.91E-06,9.73E-06,8.17E-06,5.30E-06,0,0.00016797,1.23E-05,6.58E-06,1.50E-05,0,0,4.33E-05,0,4.96E-05
Unclassified Nitrosomonadales,0,0,5.52E-05,4.69E-05,0,0,0,1.84E-05,3.19E-05,0.000171091,0,5.83E-05,0,2.51E-05,0,0,0,2.59E-05,5.31E-05,1.85E-05,0.000117753,0,4.92E-05,1.32E-05,3.00E-05,2.16E-05,0,0,4.46E-05,0
Unclassified Caldilineaceae,0,3.45E-05,5.52E-05,0,7.62E-05,0,3.50E-05,1.38E-05,6.92E-05,0,0,4.66E-05,0,5.01E-05,3.33E-05,5.61E-05,0,3.57E-05,7.76E-05,7.15E-05,0,0,6.15E-05,5.92E-05,3.00E-05,0,0,0,0,0
Unclassified Acidimicrobiia,4.19E-05,0,2.76E-05,3.52E-05,1.52E-05,6.99E-05,5.25E-05,6.89E-06,5.32E-06,0,2.69E-05,4.66E-05,0.000171913,0,1.66E-05,5.61E-05,0,3.24E-06,6.12E-06,6.62E-06,2.94E-05,5.60E-05,0,6.58E-06,1.50E-05,0,6.41E-05,2.16E-05,0,2.48E-05
Unclassified Pasteurellales,0,0,1.10E-05,1.17E-05,4.57E-05,0,3.50E-05,4.59E-06,0,5.70E-05,0.000161551,0,0,1.25E-05,4.99E-05,5.61E-05,9.83E-06,3.24E-06,2.45E-05,0,0,0.000149307,0,0,0,0,0,0,8.91E-05,9.93E-05
Candidatus Poribacteria bacterium (no genus in NCBI),0,3.45E-05,0,8.22E-05,2.28E-05,3.49E-05,0,0,3.19E-05,0,0,0,0.000103148,1.25E-05,3.33E-05,0,0,0,0,5.30E-06,0.000412134,3.73E-05,0,3.29E-06,0,1.08E-05,0,0,0,0
Silanimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61E-05,0,0,0,0,0,0.000746533,0,3.95E-05,0,0,0,0,0,0
Unclassified Desulfovibrionia,0,0,2.21E-05,9.39E-05,1.52E-05,3.49E-05,3.50E-05,4.59E-06,9.58E-05,5.70E-05,0,6.99E-05,3.44E-05,1.25E-05,3.33E-05,0,1.97E-05,1.14E-05,4.08E-06,1.06E-05,0,0,0,1.32E-05,4.00E-05,4.32E-05,0,0,4.46E-05,0.00014895
Tritonibacter,5.24E-06,0,0.000154478,2.35E-05,4.57E-05,0,0,2.76E-05,0,0,0.000161551,0,0,1.25E-05,0,0,0,2.76E-05,7.55E-05,2.65E-06,1.47E-05,0,6.15E-05,0,0,0.000172741,0,2.16E-05,4.46E-05,0
Unclassified Kitasatosporales,0,0.000206854,0,0,0,0,0,0,0,0,0.000269251,0,3.44E-05,0,3.33E-05,0.000308807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Syntrophobacteraceae,1.05E-05,0,3.31E-05,4.69E-05,7.62E-06,0.000209603,0,2.30E-06,0,0,8.08E-05,4.66E-05,0.00013753,6.26E-06,0,0,0,6.49E-06,0,2.38E-05,7.36E-05,5.60E-05,1.23E-05,0,3.50E-05,0,0,0,6.68E-05,0
Unclassified Desulfarculales,8.91E-05,8.62E-05,1.10E-05,3.52E-05,3.05E-05,3.49E-05,8.75E-05,1.15E-05,5.32E-06,2.85E-05,5.39E-05,1.17E-05,5.16E-05,0,4.16E-05,0,0,1.62E-06,6.12E-06,0,0,9.33E-05,6.15E-06,0,4.99E-06,0,0.000128222,2.16E-05,0,4.96E-05
Neiella,0,0,0,0.000211263,0,6.99E-05,0.000192489,0,0,0.000114061,0.000107701,6.99E-05,0,1.25E-05,0,0,2.95E-05,0,0,0,0,0,0,6.58E-06,0,0,0,0,8.91E-05,0
Campylobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000908396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Eubacteriales,1.05E-05,0.000103427,2.21E-05,0.00025821,7.62E-06,5.24E-05,7.00E-05,0,0,2.85E-05,0,8.16E-05,3.44E-05,0,8.32E-05,8.42E-05,0,3.24E-06,0,1.32E-05,1.47E-05,3.73E-05,0,0,9.99E-06,2.16E-05,0,0,0,0
Minwuiales bacterium (no genus in NCBI),5.24E-06,3.45E-05,2.76E-05,1.17E-05,0,3.49E-05,1.75E-05,2.53E-05,1.06E-05,8.55E-05,0.000188476,2.33E-05,5.16E-05,6.26E-06,8.32E-05,5.61E-05,9.83E-06,0,1.02E-05,3.97E-06,8.83E-05,0,0,0,2.50E-05,4.32E-05,0,0,0.000111406,0
Staphylococcus,5.24E-06,0,1.10E-05,0,0,0,0,0,0,0,0,0,0,0.000933455,0,0,0,0,4.08E-06,0,0,0,0,0,0,0,0,0,0,0
Unclassified Cyclobacteriaceae,1.05E-05,0.000137903,0,0,0,0.000139736,3.50E-05,0,3.19E-05,0,0.000215401,0,0.000171913,1.88E-05,1.66E-05,0,0,3.24E-06,2.04E-06,1.19E-05,0,9.33E-05,0,0,3.00E-05,2.16E-05,0,2.16E-05,0,0
Unclassified Paenibacillaceae,0.000972092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Cytophagales,5.24E-06,0.000103427,5.52E-06,8.22E-05,7.62E-06,0.000104802,5.25E-05,0,2.13E-05,0,0.000107701,4.66E-05,5.16E-05,3.13E-05,1.66E-05,0,3.44E-05,6.49E-06,1.84E-05,1.19E-05,2.94E-05,7.47E-05,1.23E-05,3.29E-06,4.50E-05,4.32E-05,0,6.49E-05,0,0
Unclassified Geminicoccales,5.24E-06,6.90E-05,0,4.69E-05,1.52E-05,6.99E-05,0,0,1.06E-05,0.000114061,0.000134626,2.33E-05,3.44E-05,0,0,0,9.83E-06,3.24E-06,0,5.30E-06,0,0.00011198,0,0,9.99E-06,2.16E-05,0.000128222,0.000173145,0,0
Unclassified Erythrobacteraceae,5.24E-06,3.45E-05,0,0,0,0.000139736,0,0,0,0,0,4.66E-05,0.000240678,6.26E-06,4.16E-05,0,0.000196527,0,6.12E-06,0,0,0,1.23E-05,0,0,0,0.000128222,0.000129859,0,0
Unclassified Lachnospiraceae,0,0,1.10E-05,3.52E-05,0,0.000331872,0.00017499,0,0,0,0,0,0.000171913,6.26E-06,0,0,9.83E-06,0,0,0,0,0,0,0,0,2.16E-05,0,8.66E-05,4.46E-05,9.93E-05
Unclassified Cytophagia,2.36E-05,3.45E-05,1.10E-05,0,1.52E-05,3.49E-05,7.00E-05,2.30E-06,0,5.70E-05,0,0.000174858,0.000120339,0,4.99E-05,5.61E-05,2.95E-05,1.62E-06,0,2.65E-06,5.89E-05,0,3.69E-05,0,2.00E-05,2.16E-05,0,0,0,0.000173775
Unclassified Balneolales,0,0,1.10E-05,3.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000923679,3.24E-06,8.17E-06,2.65E-06,0,0,0,0,0,0,0,0,0,2.48E-05
Streptomyces,5.76E-05,6.90E-05,3.31E-05,1.17E-05,0,8.73E-05,0,0,2.13E-05,0,0,0.000303087,5.16E-05,6.26E-06,0.000158107,0.000112293,8.84E-05,0,4.08E-06,3.97E-06,1.47E-05,0,0,0,0,0,0,0,0,0
Unclassified Ignavibacteriota,2.62E-06,3.45E-05,1.66E-05,4.69E-05,0,0.000174669,3.50E-05,4.59E-06,2.13E-05,0.000114061,8.08E-05,2.33E-05,3.44E-05,0,1.66E-05,0.000140367,1.97E-05,4.86E-06,4.08E-06,6.62E-06,0,0,0,0,9.99E-06,2.16E-05,0.000128222,4.33E-05,2.23E-05,2.48E-05
Roseospira,2.62E-06,0,2.21E-05,0.000152579,0,0.000104802,0.000122493,0,0,8.55E-05,2.69E-05,0,3.44E-05,0,0,8.42E-05,0,6.49E-06,0,2.65E-06,0,7.47E-05,1.23E-05,0,0,1.08E-05,0.000128222,0,0.000178249,0
Unclassified Lactobacillales,2.62E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001059774,0,0,0,0,0,0,0,0,0
Vallitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001036682,0,4.08E-06,7.94E-06,0,0,0,0,0,0,0,0,0,4.96E-05
Unclassified Candidatus Sumerlaeota,0.000833222,3.45E-05,0,3.52E-05,0,3.49E-05,0,2.30E-06,0,5.70E-05,2.69E-05,0,3.44E-05,0,2.50E-05,0,0,3.24E-06,0,0,2.94E-05,0,0,0,0,0,0,0,0,0
