"genus","B","Group","Class"
"Paracoccus",0.500527612293637,"IT","Generalist"
"Unclassified Desulfovibrionaceae",0.831342973448094,"IT","Generalist"
"Carboxylicivirga",0.617067908116509,"IT","Generalist"
"Unclassified Colwelliaceae",0.606144996320432,"IT","Generalist"
"Unclassified Burkholderiales",0.580587885977608,"IT","Generalist"
"Thiotrichaceae bacterium (no genus in NCBI)",0.619919908782461,"IT","Generalist"
"Unclassified Chroococcales",0.266063856061464,"IT","Intermediate"
"Unclassified Porticoccaceae",0.523311843816296,"IT","Generalist"
"Unclassified Ignavibacteriota",0.733045606925341,"IT","Generalist"
"Unclassified Cytophagales",0.575488179258563,"IT","Generalist"
"Kistimonas",0.372929292286441,"IT","Intermediate"
"Kiloniellales bacterium (no genus in NCBI)",0.297215816546462,"IT","Intermediate"
"Unclassified Desulfobacteraceae",0.19280656504433,"IT","Intermediate"
"Chloroflexales bacterium (no genus in NCBI)",0.565706799001837,"IT","Generalist"
"Cytophagales bacterium (no genus in NCBI)",0.695200806896967,"IT","Generalist"
"Unclassified Mycoplasmatota",0.0742031990454367,"IT","Specialist"
"Alphaproteobacteria bacterium (no genus in NCBI)",0.0434979695069134,"IT","Specialist"
"Desulfobacterales bacterium (no genus in NCBI)",0.820261182514628,"IT","Generalist"
"Ferrimonas",0.807273696492755,"IT","Generalist"
"Gammaproteobacteria bacterium (no genus in NCBI)",0.537398334609786,"IT","Generalist"
"Unclassified Woeseiaceae",0.0215755516725826,"IT","Specialist"
"Unclassified Bacteroidales",0.609448932444291,"IT","Generalist"
"Unclassified Deltaproteobacteria",0.852416383698586,"IT","Generalist"
"Unclassified Alteromonadales",0.0735090660775556,"IT","Specialist"
"Unclassified Verrucomicrobiota",0.776231898272082,"IT","Generalist"
"Unclassified Cyanobacteriota",0.590954025026047,"IT","Generalist"
"Nitrospira",0.00794220503682834,"IT","Specialist"
"Unclassified Alteromonadaceae",0.82826939299188,"IT","Generalist"
"Unclassified Chlorobiaceae",0.0592366225329746,"IT","Specialist"
"Unclassified Rhodospirillaceae",0.0903202658920135,"IT","Specialist"
"Woeseiaceae bacterium (no genus in NCBI)",0.00840568362254576,"IT","Specialist"
"Unclassified Rickettsiaceae",0.238763349855856,"IT","Intermediate"
"Unclassified Cellvibrionaceae",0.565830503408368,"IT","Generalist"
"Escherichia",0.618229075332359,"IT","Generalist"
"Unclassified Betaproteobacteria",0.852142349741935,"IT","Generalist"
"Unclassified Chlamydiia",0.081998493237975,"IT","Specialist"
"Unclassified Prolixibacteraceae",0.186581269858102,"IT","Intermediate"
"Acinetobacter",0.151900657653706,"IT","Intermediate"
"Photobacterium",0.0866792502609832,"IT","Specialist"
"Unclassified Thermoanaerobaculia",0.255885781666771,"IT","Intermediate"
"Hoeflea",0.487686997208893,"IT","Generalist"
"Unclassified Saprospiraceae",0.235924577609667,"IT","Intermediate"
"Gemmatimonadota bacterium (no genus in NCBI)",0.0194607716269346,"IT","Specialist"
"Unclassified Enterobacterales",0.619784637963806,"IT","Generalist"
"Unclassified Rickettsiales",0.60697774797094,"IT","Generalist"
"Unclassified Paracoccaceae",0.0604635440218094,"IT","Specialist"
"Unclassified Actinomycetota",0.843980144374159,"IT","Generalist"
"Unclassified Chromatiales",0.0113565905167889,"IT","Specialist"
"Unclassified Gemmatimonadota",0.725709927566058,"IT","Generalist"
"Candidatus Omnitrophota bacterium (no genus in NCBI)",0.0278504187658463,"IT","Specialist"
"Unclassified Saprospirales",0.0157923838987334,"IT","Specialist"
"Unclassified Thermodesulfobacteriota",0.252795956537186,"IT","Intermediate"
"Unclassified Vibrionaceae",0.411578190937172,"IT","Intermediate"
"Unclassified Oceanospirillaceae",0.506725749054208,"IT","Generalist"
"Sessilibacter",0.556235119545657,"IT","Generalist"
"Acidimicrobiaceae bacterium (no genus in NCBI)",0.015977117435815,"IT","Specialist"
"Unclassified Enterobacteriaceae",0.584789921844004,"IT","Generalist"
"Unclassified Cyanophyceae",0.405064097560473,"IT","Intermediate"
"Unclassified Pseudomonadaceae",0.63382421300457,"IT","Generalist"
"Unclassified Phycisphaerae",0.835446731839879,"IT","Generalist"
"Klebsiella",0.748179812537674,"IT","Generalist"
"Unclassified Flavobacteriia",0.808373456079275,"IT","Generalist"
"Unclassified Campylobacterales",0.272319967585612,"IT","Intermediate"
"Unclassified Marinilabiliales",0.711816271481867,"IT","Generalist"
"Unclassified Marinifilaceae",0.692558332156418,"IT","Generalist"
"Streptococcus",0.663998976009775,"IT","Generalist"
"Unclassified Stappiaceae",0.750883380728544,"IT","Generalist"
"Acidobacteriota bacterium (no genus in NCBI)",0.267151895960118,"IT","Intermediate"
"Unclassified Bacillota",0.423117869295221,"IT","Intermediate"
"Parendozoicomonas",0.779312275517968,"IT","Generalist"
"Unclassified Spirochaetia",0.657912298826228,"IT","Generalist"
"Unclassified Chlorobiales",0.121729019536221,"IT","Intermediate"
"Unclassified Candidatus Poribacteria",0.0339949093655529,"IT","Specialist"
"Unclassified Desulfobulbaceae",0.827924892530681,"IT","Generalist"
"Candidatus Poribacteria bacterium (no genus in NCBI)",0.00391706518717032,"IT","Specialist"
