"KO","IT-H1","IT-H2","IT-H3","IT-H4","IT-H5","IT-H6"
"K00172",0.000125841565469074,0,0,0,0,0
"K00174",6.29207827345372e-05,0.000251683130938149,0.000188762348203612,0.000377524696407223,0.000566287044610835,0.000188762348203612
"K00175",0.000125841565469074,6.29207827345372e-05,0,0,0.000314603913672686,0
"K00176",0,6.29207827345372e-05,0,0,0,0
"K00177",0,0,0,0.000125841565469074,0.000188762348203612,0
"K00184",0.000188762348203612,0,0,0.000125841565469074,0,0
"K00185",0.000125841565469074,0,0,0,0,0
"K00196",0,0,0,0,0,0.000125841565469074
"K00198",0.000251683130938149,6.29207827345372e-05,0,0,0,0
"K00208",0.00044044547914176,0,0,0,0,0
"K00210",0,0,6.29207827345372e-05,0,0,0
"K00215",0.000188762348203612,6.29207827345372e-05,0,0,0,0
"K00219",0,0,0,0,6.29207827345372e-05,0
"K00230",0.000125841565469074,0,0,0,0,0
"K00239",0,0,0,0,0,0.000314603913672686
"K00240",0,0,0,6.29207827345372e-05,0,0
"K00241",0,0,0,0,0,0.000125841565469074
"K00243",0.000755049392814447,0,0,0,0,0
"K00244",0.000314603913672686,0.000251683130938149,0,6.29207827345372e-05,0,0.000251683130938149
"K00245",0.000125841565469074,0,0,6.29207827345372e-05,0.000125841565469074,0.000188762348203612
"K00246",0,0,0,0.000251683130938149,0,0
"K00249",0,0,0,0,6.29207827345372e-05,0
"K00252",0,6.29207827345372e-05,0,0,0,0
"K00254",0.000125841565469074,0,0,0,0,0.000188762348203612
"K00259",0,0,0.000503366261876298,0,6.29207827345372e-05,0.000251683130938149
"K00262",0,0,0,0.000188762348203612,0,0
"K00265",0,0,0.000188762348203612,6.29207827345372e-05,0.000125841565469074,0.000629207827345372
"K00266",0.000566287044610835,0,0,6.29207827345372e-05,0,0.000314603913672686
"K00275",0,0,0,0.000188762348203612,0,0
"K00278",0.000817970175548984,0,0,0,0,6.29207827345372e-05
"K00279",0,6.29207827345372e-05,0,0,0,0
"K00281",0.000188762348203612,0,0.000125841565469074,0,0.000377524696407223,6.29207827345372e-05
"K00284",0.000188762348203612,0,0,0,0,0.000251683130938149
"K00285",0,0,0,0,0,0.000377524696407223
"K00287",0,0,0,0,6.29207827345372e-05,0
"K00290",6.29207827345372e-05,0,0,0,0,0.000125841565469074
"K00294",0,6.29207827345372e-05,0,0,0,0
"K00297",0,0,0,6.29207827345372e-05,0,0
"K00303",0,0,0,6.29207827345372e-05,0.000125841565469074,0
"K00315",0,0,0,0,0.000125841565469074,0
"K00318",0,0,0,0,0,0.000125841565469074
"K00324",6.29207827345372e-05,0.000251683130938149,0,0,0,0
"K00325",0,0,0.000251683130938149,0,0,6.29207827345372e-05
"K00330",0.000125841565469074,0,0,0,0,6.29207827345372e-05
"K00331",0.000251683130938149,0,0,0,0,0
"K00332",0.000188762348203612,0,0,0,0,0
"K00334",0.000125841565469074,0,0,0,0,0
"K00335",0,0,0,0.000125841565469074,0,6.29207827345372e-05
"K00336",0.000503366261876298,0,0,0,0,0.000125841565469074
"K00337",0.000377524696407223,0,0,0.000188762348203612,0,0.000251683130938149
"K00339",0,0,0,0,0,0.000755049392814447
"K00340",6.29207827345372e-05,0,0,0,0,0
"K00341",6.29207827345372e-05,0,0,0,0,0.000566287044610835
"K00342",0.00044044547914176,6.29207827345372e-05,0,0,0,0.000188762348203612
"K00343",6.29207827345372e-05,0,0,0,0,0.000125841565469074
"K00344",0,0,0,0.000188762348203612,0,0
"K00346",0,0,0,0,0,6.29207827345372e-05
"K00351",0.000125841565469074,0,0.000125841565469074,0.000125841565469074,0,0
"K00364",0,0.000314603913672686,0.000125841565469074,0,0,0
"K00367",0,0.000125841565469074,0,0,0,0
"K00374",0.000251683130938149,0,0,0,0,0
"K00375",0,0,0,0,6.29207827345372e-05,0
"K00380",0.000377524696407223,0,0,0,0,0
"K00382",0.000125841565469074,0.00044044547914176,0.000377524696407223,6.29207827345372e-05,0.000503366261876298,0.000251683130938149
"K00383",0,0,0,0,0,0.000125841565469074
"K00384",0,0.000377524696407223,0.000377524696407223,0.000125841565469074,6.29207827345372e-05,0.000251683130938149
"K00390",0.000125841565469074,0,0,0,0,0
"K00392",0.000188762348203612,0,0,0,0,0
"K00394",0,0,0,0.000125841565469074,0,0
"K00404",0,6.29207827345372e-05,6.29207827345372e-05,0,0,0
"K00405",6.29207827345372e-05,0,0,0,0,0
"K00406",6.29207827345372e-05,0,0,0.000125841565469074,0,0
"K00407",0,0,0,6.29207827345372e-05,0,0
"K00413",0,0.000125841565469074,0,0,0,6.29207827345372e-05
"K00425",0,0,0,6.29207827345372e-05,0,0
"K00428",0.000314603913672686,0,0.000314603913672686,0,0.000314603913672686,0.000188762348203612
"K00433",0,0,0,0,0,0.000125841565469074
"K00436",0,0,0,0.000125841565469074,0,0.000125841565469074
"K00437",0,0,0,0,6.29207827345372e-05,0
"K00441",0,0,6.29207827345372e-05,0,6.29207827345372e-05,0
"K00457",0,0,0,0,0.000251683130938149,0
"K00459",0,0,6.29207827345372e-05,6.29207827345372e-05,0.000314603913672686,0
"K00486",0,0,0,0,0.000125841565469074,0
"K00499",0,0,0,0.000125841565469074,0,0
"K00500",0,0,0,6.29207827345372e-05,0,0
"K00504",0,0,0,0,6.29207827345372e-05,0
"K00518",6.29207827345372e-05,0,0,0,0,0
"K00520",0,0,0,0.000125841565469074,0,0
"K00523",0,0,0.000251683130938149,0.000377524696407223,0,0
"K00525",0.000755049392814447,0.000125841565469074,6.29207827345372e-05,0.000251683130938149,0.000377524696407223,0.000314603913672686
"K00528",0,0,0,0.000251683130938149,0,6.29207827345372e-05
"K00529",0,0,0,0,0,0.000377524696407223
"K00548",0,0,0,0.000503366261876298,0.000125841565469074,0.000251683130938149
"K00549",6.29207827345372e-05,0,0,0,0.000251683130938149,0
"K00554",6.29207827345372e-05,0,0,0,0,0
"K00556",0,0,0.000125841565469074,0.000188762348203612,0,0
"K00557",0,0.000125841565469074,0,0,0,0
"K00558",0,0,0.000251683130938149,0,0.000188762348203612,0.000629207827345372
"K00560",0,0,0,6.29207827345372e-05,0,0
"K00566",0.000377524696407223,0.000377524696407223,0,0,0.000125841565469074,0.000125841565469074
"K00568",0,0,0,0,0.000125841565469074,6.29207827345372e-05
"K00569",0.000188762348203612,0,0,0,0,0
"K00571",0.000188762348203612,0,0,0,0,0
"K00573",0.000692128610079909,0,0,0,0,0
"K00574",0,0.000125841565469074,0.000251683130938149,0,6.29207827345372e-05,0.000188762348203612
"K00575",0.000314603913672686,0,0,0.000314603913672686,6.29207827345372e-05,6.29207827345372e-05
"K00588",0,0,0,0,0,0.000125841565469074
"K00595",0,0,0,0,0,0.000125841565469074
"K00600",0,0,0,0.000125841565469074,0,6.29207827345372e-05
"K00602",0,0,0,0,0,6.29207827345372e-05
"K00604",6.29207827345372e-05,0,0,0,6.29207827345372e-05,0
"K00606",0,0,0,0,6.29207827345372e-05,0.000251683130938149
"K00609",6.29207827345372e-05,0,0,0,0,0.000125841565469074
"K00610",6.29207827345372e-05,0,0,0,0,0
"K00611",0.000125841565469074,0,0,0,0,0
"K00612",0.000251683130938149,0,6.29207827345372e-05,0,0.000188762348203612,0
"K00615",0.000188762348203612,0.000251683130938149,6.29207827345372e-05,0.00044044547914176,0.000251683130938149,0.000377524696407223
"K00616",0,0.000251683130938149,0,0,0,0
"K00619",6.29207827345372e-05,0,0,0,0,0
"K00620",0.000188762348203612,0,0,0,0,0
"K00626",6.29207827345372e-05,0,0,0.000188762348203612,0.000314603913672686,0.000125841565469074
"K00627",0.000629207827345372,0,0,0,0,6.29207827345372e-05
"K00631",0.000503366261876298,0,0,0,0.000314603913672686,0
"K00638",0.000188762348203612,0,0,0,0,0
"K00639",0,0,0,0,0,0.000125841565469074
"K00640",6.29207827345372e-05,0,0,6.29207827345372e-05,0.000125841565469074,0.000251683130938149
"K00641",0.000125841565469074,0,0,0,0,0
"K00645",0,0,0,0,0,6.29207827345372e-05
"K00647",6.29207827345372e-05,0,0,0,0,0.000755049392814447
"K00648",0,0.000377524696407223,0,0,0.000125841565469074,0
"K00652",0.000377524696407223,0,0,0,0.000314603913672686,0
"K00655",0,0,0,0,0,0.000251683130938149
"K00656",0.000188762348203612,0,0,0,0,0.000125841565469074
"K00658",0,0,0,0.000125841565469074,0,0.000125841565469074
"K00661",0,6.29207827345372e-05,0.00044044547914176,0,0.000125841565469074,0
"K00665",0,0,0,0,6.29207827345372e-05,0
"K00666",0,0,0,0.000188762348203612,6.29207827345372e-05,0.000188762348203612
"K00674",6.29207827345372e-05,0,0,0.000125841565469074,0,0.000125841565469074
"K00677",0,0,0,0,0,6.29207827345372e-05
"K00681",0.000125841565469074,0.000251683130938149,0.000125841565469074,0,0.000125841565469074,0.000188762348203612
"K00688",0.000503366261876298,0,0.000125841565469074,6.29207827345372e-05,0,0.000125841565469074
"K00690",0,0,0,0,0,0.000314603913672686
"K00700",0,0.000125841565469074,0,0,0,0
"K00702",0,0,0,0,0.000377524696407223,0
"K00703",0,0,0,0,0,6.29207827345372e-05
"K00705",0.000125841565469074,0,0,0,0,0
"K00721",0.00044044547914176,0,0,0,0,0
"K00761",0.000125841565469074,0,0,0,0,0
"K00762",0,0.000125841565469074,0,0,0,0.000125841565469074
"K00764",0.000125841565469074,0,0,0,0,6.29207827345372e-05
"K00765",0,0,0,0,0,0.000314603913672686
"K00766",0,0,0,0,0,0.000125841565469074
"K00767",6.29207827345372e-05,0,0,0,0.000188762348203612,0
"K00768",0,0,0,0,0,6.29207827345372e-05
"K00769",0,0,0,0,0,0.000125841565469074
"K00773",0.000188762348203612,0,0,0,0,0.000125841565469074
"K00783",0,0,0,0,0,6.29207827345372e-05
"K00784",0,0,0,0,0,6.29207827345372e-05
"K00788",0.00106965330648713,0,0,0.000125841565469074,0,0.000188762348203612
"K00789",0,6.29207827345372e-05,0,0,0,0
"K00790",0,0.000125841565469074,0.000125841565469074,0,6.29207827345372e-05,6.29207827345372e-05
"K00791",0.000125841565469074,0,0,0,0,0
"K00793",0,0,0,0,0,6.29207827345372e-05
"K00795",0.000125841565469074,0,0,0,0,0
"K00796",0,0,0,0,6.29207827345372e-05,6.29207827345372e-05
"K00797",6.29207827345372e-05,0,0,0,0,0
"K00800",0,6.29207827345372e-05,6.29207827345372e-05,0,0.00151009878562889,0.000377524696407223
"K00803",0,0,0,0.000125841565469074,0,6.29207827345372e-05
"K00806",0.000251683130938149,0,0,0.000125841565469074,0,0
"K00812",0,0,0,0,6.29207827345372e-05,0
"K00817",0,0.000125841565469074,6.29207827345372e-05,0,0,6.29207827345372e-05
"K00819",0,0,0,0,0,0.000125841565469074
"K00820",0.000377524696407223,0.000503366261876298,6.29207827345372e-05,0.000314603913672686,0.00125841565469074,0.000377524696407223
"K00821",0.000251683130938149,0,0,0,0.00044044547914176,6.29207827345372e-05
"K00826",0.000377524696407223,0,0,6.29207827345372e-05,0.000503366261876298,0.000503366261876298
"K00830",0,0,0,0,0.000125841565469074,0
"K00833",0.000125841565469074,0,0,0.00044044547914176,6.29207827345372e-05,0.000314603913672686
"K00836",6.29207827345372e-05,0,0,0,0,0.000125841565469074
"K00845",0,0.000377524696407223,0,0,0,0
"K00850",0.000125841565469074,0,6.29207827345372e-05,0,0,0.000188762348203612
"K00852",0,0,0,0,0.000188762348203612,0
"K00857",0,0,0,0.000314603913672686,0,0
"K00859",0.000314603913672686,0,0.000377524696407223,0,0,0
"K00864",0,0,0,0.000125841565469074,0,0.00044044547914176
"K00865",0,0,0,0,0.000125841565469074,0.000188762348203612
"K00869",6.29207827345372e-05,6.29207827345372e-05,0.000125841565469074,0.000314603913672686,6.29207827345372e-05,6.29207827345372e-05
"K00873",0.000314603913672686,0,0,6.29207827345372e-05,6.29207827345372e-05,6.29207827345372e-05
"K00875",0,0,0,0,0,6.29207827345372e-05
"K00876",0,0,0.000188762348203612,0,0,0
"K00878",6.29207827345372e-05,0,0,0,0,0
"K00891",0.000314603913672686,0,0,0,6.29207827345372e-05,0
"K00892",0,0.000125841565469074,0,0,0,6.29207827345372e-05
"K00899",6.29207827345372e-05,0,0,0,0,6.29207827345372e-05
"K00912",0.000503366261876298,0,0,0,0.000251683130938149,0
"K00919",0,0,0,6.29207827345372e-05,6.29207827345372e-05,6.29207827345372e-05
"K00925",0.000125841565469074,0,0,6.29207827345372e-05,6.29207827345372e-05,0.000377524696407223
"K00926",0,0,6.29207827345372e-05,0,0,0
"K00927",0,0,0,0,0.000314603913672686,0
"K00928",0.000125841565469074,0,0,0,0.000251683130938149,0.000629207827345372
"K00929",0,0,0,0.000188762348203612,0,0
"K00930",0,0,0,0.000125841565469074,0.000188762348203612,0.000377524696407223
"K00931",0,0.000125841565469074,0,0,6.29207827345372e-05,0
"K00936",0.000125841565469074,0,0,0,0,0
"K00937",0,0,0,0,0.000125841565469074,0
"K00939",0,0,0,0,0,6.29207827345372e-05
"K00940",0.000314603913672686,0,0.000377524696407223,0,0,0.000251683130938149
"K00941",0,0,0,0,0,6.29207827345372e-05
"K00942",0.000314603913672686,0.000188762348203612,6.29207827345372e-05,0,0,0.000188762348203612
"K00946",0,0,0,0,0,6.29207827345372e-05
"K00947",0,0,0,0,0.000125841565469074,0
"K00948",0,0,0,0.000125841565469074,6.29207827345372e-05,0.000125841565469074
"K00950",0.000377524696407223,0,0,0,0,0
"K00951",0.000251683130938149,0.000251683130938149,0,0.000251683130938149,0,0
"K00953",0,0.000251683130938149,0,0,0,0
"K00955",6.29207827345372e-05,0,0,0,0,0
"K00956",0,0,0,0,0,0.000125841565469074
"K00957",0.00044044547914176,0,0,0,0,6.29207827345372e-05
"K00958",0.000251683130938149,0,0,0,0,0
"K00962",0.000314603913672686,0.000188762348203612,0,0.000377524696407223,0,0.000314603913672686
"K00963",0,0,0,0.000188762348203612,0,0
"K00969",0.000125841565469074,0,0,0,0,0
"K00972",0,0,0,0,0,6.29207827345372e-05
"K00973",0,0,0,6.29207827345372e-05,0.000125841565469074,0
"K00974",0.000125841565469074,0,0,0,0,0
"K00975",6.29207827345372e-05,0.000692128610079909,0,0,0,0
"K00979",0,0,0,0.000251683130938149,0,0
"K00981",0,0,0,0,6.29207827345372e-05,0
"K00982",0,0.000125841565469074,0,0,6.29207827345372e-05,0
"K00986",0.000755049392814447,0.000566287044610835,6.29207827345372e-05,0.000692128610079909,0.000566287044610835,0.000125841565469074
"K00989",0.000314603913672686,0,0,0,0,6.29207827345372e-05
"K00990",0.000188762348203612,0.000125841565469074,0,0.000125841565469074,0,0.000314603913672686
"K00995",0.000125841565469074,6.29207827345372e-05,0,0,6.29207827345372e-05,0
"K00996",0,6.29207827345372e-05,0,0,0,0
"K00997",0.000188762348203612,0,0,0.000251683130938149,6.29207827345372e-05,0.000314603913672686
"K01000",0,6.29207827345372e-05,0.000188762348203612,6.29207827345372e-05,0,0
"K01006",0.000125841565469074,0,0.000125841565469074,0.000188762348203612,0.000314603913672686,0.000125841565469074
"K01007",0,0,0,6.29207827345372e-05,0.000629207827345372,6.29207827345372e-05
"K01008",0.000314603913672686,0,0.000125841565469074,0,0,0.000188762348203612
"K01012",0.000188762348203612,0,0,0,0,0.000251683130938149
"K01029",0,6.29207827345372e-05,0,0,0.000377524696407223,6.29207827345372e-05
"K01034",0,0,0,0,0,0.000125841565469074
"K01039",0,0,0,6.29207827345372e-05,0,0
"K01042",0.000125841565469074,0,0,0.000314603913672686,0.000125841565469074,0.000251683130938149
"K01046",0.000125841565469074,0,0,0,0,0
"K01053",0,0,0,0,0,0.000377524696407223
"K01056",0.000314603913672686,0,0,6.29207827345372e-05,0,0.000188762348203612
"K01066",0.000251683130938149,0,0,0,6.29207827345372e-05,0.000125841565469074
"K01069",0.000251683130938149,0.000188762348203612,0,0,0,6.29207827345372e-05
"K01070",0,0,0,0,0,6.29207827345372e-05
"K01077",0,0,0,0,0,0.000125841565469074
"K01079",0,0.000188762348203612,0,0,0,0
"K01082",0.000251683130938149,0,0,0,0,0
"K01083",0.000188762348203612,0,0,0,0,0
"K01089",0,0,0,0,0,6.29207827345372e-05
"K01091",0,0,0,0,0.000188762348203612,0.000251683130938149
"K01092",0,0.000125841565469074,0,0.000314603913672686,0.000125841565469074,0.000188762348203612
"K01095",0,0,0.000125841565469074,0,6.29207827345372e-05,0
"K01104",0.000125841565469074,0,0,0,0,0
"K01120",0.000188762348203612,0,0,0,0,0
"K01126",0.000377524696407223,0,0,0,0,0.000188762348203612
"K01129",0,0,0,6.29207827345372e-05,0,0
"K01130",0.000125841565469074,0,0,0,0.000251683130938149,0.000314603913672686
"K01133",0,0,0,0,0.000125841565469074,0
"K01135",0.000692128610079909,0,0,0,0,0
"K01138",0,0.000125841565469074,6.29207827345372e-05,0,0.000251683130938149,0
"K01139",0,0,0,0,6.29207827345372e-05,0.000188762348203612
"K01142",6.29207827345372e-05,0.000125841565469074,0,0.000314603913672686,0.000692128610079909,6.29207827345372e-05
"K01147",0,0,0,0,0,6.29207827345372e-05
"K01150",0.000314603913672686,0,0,0,0,0
"K01151",0,0,0,0,0,0.000314603913672686
"K01153",0.000692128610079909,0,0.0010067325237526,0.000566287044610835,0.000377524696407223,0.00044044547914176
"K01154",0.00138425722015982,0,0,0,6.29207827345372e-05,0.000314603913672686
"K01155",0.000377524696407223,0,0,0,0,0
"K01156",0.000125841565469074,0.000125841565469074,0,0,0,0
"K01159",0,0.000314603913672686,0,0,0,0
"K01175",6.29207827345372e-05,0,0,0,0,0
"K01179",0,0,0,0.000314603913672686,0,0
"K01181",0,0,0,0,0,6.29207827345372e-05
"K01182",0,0.000188762348203612,0,0.000188762348203612,0,0
"K01190",0.000188762348203612,0.000251683130938149,0.000188762348203612,0,0.00044044547914176,0.000314603913672686
"K01191",0.00195054426477065,0.0237211350909205,0.00396400931227585,0.0301390549298433,0.007613414710879,0.00748757314540993
"K01200",0,0,0.000125841565469074,0,0,0.000125841565469074
"K01201",0,0,0,0,0,0.000188762348203612
"K01207",0,0,0,6.29207827345372e-05,0,0.000188762348203612
"K01208",0,0,0,0.000125841565469074,0,0
"K01214",0,0,0.000125841565469074,0,0,0
"K01239",0,6.29207827345372e-05,0,0,0,0
"K01241",0,6.29207827345372e-05,6.29207827345372e-05,0,0,0
"K01243",0,0,0,0,0,6.29207827345372e-05
"K01244",0,0,0.000188762348203612,0,0,0
"K01246",0,0,0.000503366261876298,0,6.29207827345372e-05,0
"K01251",0,0.000251683130938149,6.29207827345372e-05,0,0,0.000251683130938149
"K01255",0,0,0,0,0,0.000125841565469074
"K01259",0,0,0,0,0.000188762348203612,0
"K01261",0,0.000188762348203612,0,0,0,0
"K01262",0.000692128610079909,0.000251683130938149,0,0,0,0.000251683130938149
"K01265",0,0,0.000188762348203612,6.29207827345372e-05,0,0
"K01267",0.000188762348203612,0,0,0,0,0
"K01269",0,6.29207827345372e-05,6.29207827345372e-05,0,0,0
"K01270",0.000125841565469074,0.000377524696407223,0,0,0,6.29207827345372e-05
"K01271",0,0,0,0,0,0.000188762348203612
"K01273",0,0,0,0,0,6.29207827345372e-05
"K01277",0,0,0,0,0,0.000125841565469074
"K01278",0,0,0,0,0,6.29207827345372e-05
"K01280",0,0,0,0,6.29207827345372e-05,0
"K01284",6.29207827345372e-05,0,0,0,0,0.000188762348203612
"K01286",0,0,0,6.29207827345372e-05,0,0
"K01295",0.00044044547914176,0,0,0,0,0
"K01299",0.000125841565469074,0,0,0,0,0
"K01303",0.000251683130938149,0,0,0,0.000188762348203612,0
"K01305",0,0.000125841565469074,0,0,0,0
"K01322",0,0.000125841565469074,0,0,0,0
"K01338",0,0.000629207827345372,0.000251683130938149,0.000125841565469074,0.000188762348203612,0.000377524696407223
"K01342",0.000125841565469074,0,0,0,0,0.000188762348203612
"K01354",6.29207827345372e-05,0,0,0,0,0.000251683130938149
"K01356",0.000125841565469074,0,0,0,0,0
"K01358",0.000251683130938149,0.000125841565469074,0.000251683130938149,0,0,6.29207827345372e-05
"K01372",0,0,0,0,0,0.000125841565469074
"K01408",0,0,0,0,0.000314603913672686,0
"K01409",0,0,6.29207827345372e-05,0.000188762348203612,0.000188762348203612,0.000377524696407223
"K01414",0,0,0.000503366261876298,0.000125841565469074,0,6.29207827345372e-05
"K01420",0,0,0,0,0,0.000125841565469074
"K01424",0,0.000314603913672686,0.000125841565469074,0,0,0
"K01425",0,0,0,0,0,0.000125841565469074
"K01432",0,0,0,0.000125841565469074,0,0
"K01433",0.000188762348203612,0,0,0,0,0
"K01434",0,0,6.29207827345372e-05,0,0,0
"K01436",0,0,0,0,0,0.000125841565469074
"K01439",0.000377524696407223,0,0,0,0,0
"K01447",0.000251683130938149,0,0,0,0,0
"K01448",6.29207827345372e-05,0,0,0,0.000125841565469074,0.000125841565469074
"K01452",0,0.000188762348203612,0,0,0.00044044547914176,0
"K01457",0.000125841565469074,0,0,0,6.29207827345372e-05,0.000125841565469074
"K01459",0,6.29207827345372e-05,0,0,0,0
"K01462",6.29207827345372e-05,6.29207827345372e-05,0,0,0,0
"K01463",0,0,0,0,6.29207827345372e-05,0.000377524696407223
"K01464",0,0.000125841565469074,0,0,0,0
"K01465",0.000125841565469074,0.000125841565469074,0,0,6.29207827345372e-05,0
"K01473",6.29207827345372e-05,0,0,0,0,0
"K01474",0,0,0,0,0,0.000125841565469074
"K01478",0,0.000314603913672686,0.000188762348203612,0,0,0
"K01479",0,0,0,0,0.00044044547914176,0
"K01480",0,0.000566287044610835,0,0,0,0.000125841565469074
"K01482",6.29207827345372e-05,0,0,0,0,0
"K01485",0,0,0,0,6.29207827345372e-05,0
"K01486",0,0,0,0,0,0.000188762348203612
"K01487",0.000125841565469074,0,0.000125841565469074,0,6.29207827345372e-05,0
"K01491",0.000188762348203612,0,0,0,0,0
"K01493",0,0,0,0,0,0.000125841565469074
"K01495",0,0,0,6.29207827345372e-05,0,0
"K01497",0,0,0,0,0,6.29207827345372e-05
"K01505",0,0,0,0,0,0.000125841565469074
"K01513",0,0,0,0,0.000125841565469074,0
"K01515",0,0.000125841565469074,0,0,0,0
"K01520",0.00044044547914176,0.0266154910967092,0.000566287044610835,0.0359277669414208,0.00484490027055937,0.00201346504750519
"K01524",0.000125841565469074,0,0,0,0,0
"K01533",0,0,0.000880890958283521,0,0,6.29207827345372e-05
"K01551",0,0,0,0,0.000188762348203612,0.000251683130938149
"K01560",0,0,0,0,0.000125841565469074,0
"K01563",0.000377524696407223,0,0,0,0.000188762348203612,0
"K01572",0,0,0,0,0,0.000125841565469074
"K01573",0.000125841565469074,0,0,0,0,0
"K01580",0,0,0.000125841565469074,0,0,0
"K01585",0.000377524696407223,0,0,0,0.000125841565469074,0.000125841565469074
"K01586",0,0.000251683130938149,0,0,0,0.000125841565469074
"K01589",0,0,0,0,0,6.29207827345372e-05
"K01591",0.000251683130938149,6.29207827345372e-05,0,0,0,0.000188762348203612
"K01593",0.000125841565469074,0.000125841565469074,0,0.000125841565469074,0,0.000692128610079909
"K01595",0,0,0,0,0.000188762348203612,0
"K01597",0,0,0,0.000125841565469074,0,0
"K01599",0,6.29207827345372e-05,0.000377524696407223,0,0,0.000188762348203612
"K01609",0.000125841565469074,0,0,0.000251683130938149,0,0.000629207827345372
"K01610",0.00044044547914176,0,0,0,0.000125841565469074,0.000377524696407223
"K01611",0,0,0.000125841565469074,0,0,0
"K01613",0.000251683130938149,0,0.000943811741018058,0,6.29207827345372e-05,0.000314603913672686
"K01617",0,0,0,0,0,6.29207827345372e-05
"K01620",0.000251683130938149,0,0,0,0,0.000188762348203612
"K01624",0.000566287044610835,0,0,0,0,0
"K01626",0,0,0,0.000125841565469074,0,0.000377524696407223
"K01628",0,0.000125841565469074,0,0,0,0.00044044547914176
"K01633",0,0.000188762348203612,0,0,0,0
