"Sample","Group","Habitat","Phylum_plot","Relative_abundance"
"IT-H5","IT-H","Intertidal Heat","Planctomycetota",0.104272281705547
"IT-H5","IT-H","Intertidal Heat","Pseudomonadota",0.416710490334252
"IT-H5","IT-H","Intertidal Heat","Spirochaetota",0.0698584320242327
"IT-H5","IT-H","Intertidal Heat","Thermodesulfobacteriota",0.0350238751341004
"IT-H6","IT-H","Intertidal Heat","Actinomycetota",0.0029513562823643
"IT-H6","IT-H","Intertidal Heat","Bacillota",0.022752273885863
"IT-H6","IT-H","Intertidal Heat","Bacteroidota",0.0964825199216549
"IT-H6","IT-H","Intertidal Heat","Campylobacterota",0.135601405918811
"IT-H6","IT-H","Intertidal Heat","Cyanobacteriota",0.00338064446889002
"IT-H6","IT-H","Intertidal Heat","Ignavibacteriota",0.000670762791446433
"IT-H6","IT-H","Intertidal Heat","Others",0.243111266131845
"IT-H6","IT-H","Intertidal Heat","Planctomycetota",0.0700276354270076
"IT-H6","IT-H","Intertidal Heat","Pseudomonadota",0.262509726060476
"IT-H6","IT-H","Intertidal Heat","Spirochaetota",0.102948673231199
"IT-H6","IT-H","Intertidal Heat","Thermodesulfobacteriota",0.0595637358804432
"ST-C1","ST-C","Subtidal Control","Actinomycetota",0.00274047310655123
"ST-C1","ST-C","Subtidal Control","Bacillota",0.00756697798077579
"ST-C1","ST-C","Subtidal Control","Bacteroidota",0.0329129456677347
"ST-C1","ST-C","Subtidal Control","Campylobacterota",0.0230690571954462
"ST-C1","ST-C","Subtidal Control","Cyanobacteriota",0.00297225441407049
"ST-C1","ST-C","Subtidal Control","Ignavibacteriota",0.000518099393278342
"ST-C1","ST-C","Subtidal Control","Others",0.145395050787375
"ST-C1","ST-C","Subtidal Control","Planctomycetota",0.0462744563364919
"ST-C1","ST-C","Subtidal Control","Pseudomonadota",0.708541822891813
"ST-C1","ST-C","Subtidal Control","Spirochaetota",0.0137296339218761
"ST-C1","ST-C","Subtidal Control","Thermodesulfobacteriota",0.0162792283045879
"ST-C2","ST-C","Subtidal Control","Actinomycetota",0.00436192819595124
"ST-C2","ST-C","Subtidal Control","Bacillota",0.00413823957051784
"ST-C2","ST-C","Subtidal Control","Bacteroidota",0.0239626439995526
