"","Bn","P.val","P.adj","Below.LOQ","Taxon","class"
"Carboxylicivirga",0.382731135859521,0.000105327382901302,0.000112578626298241,"Y","Carboxylicivirga","Generalist"
"Castellaniella",0.0232337600758653,1.78108309319614e-14,5.21237096922578e-14,"Y","Castellaniella","Specialist"
"Caulobacter",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Caulobacter","Specialist"
"Celeribacter",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Celeribacter","Specialist"
"Cellvibrio",0.162988115449915,5.89861507230371e-10,7.77428979313697e-10,"Y","Cellvibrio","Generalist"
"Cellvibrionaceae bacterium (no genus in NCBI)",0.270372899542578,4.15431089117017e-07,4.77459068546032e-07,"Y","Cellvibrionaceae bacterium (no genus in NCBI)","Generalist"
"Chlamydia",0.286692656892149,1.00934306621146e-06,1.14851956353999e-06,"N","Chlamydia","Generalist"
"Chlorobiales bacterium (no genus in NCBI)",0.0426532201104667,8.59183570414654e-14,1.68525085760133e-13,"N","Chlorobiales bacterium (no genus in NCBI)","Generalist"
"Chlorobium",0.0198773952849407,1.35130918043374e-14,4.72442446289048e-14,"Y","Chlorobium","Specialist"
"Chloroflexaceae bacterium (no genus in NCBI)",0.0406015037593985,7.29000720637242e-14,1.44384552698874e-13,"Y","Chloroflexaceae bacterium (no genus in NCBI)","Generalist"
"Chloroflexales bacterium (no genus in NCBI)",0.224383759895402,2.91822891482452e-08,3.49424534114936e-08,"Y","Chloroflexales bacterium (no genus in NCBI)","Generalist"
"Chloroflexota bacterium (no genus in NCBI)",0.0239359033960997,1.88671153904554e-14,5.35055037079168e-14,"Y","Chloroflexota bacterium (no genus in NCBI)","Specialist"
"Chloroflexus",0.0512645249487356,1.70375540690561e-13,3.08426868127576e-13,"Y","Chloroflexus","Generalist"
"Chromatiaceae bacterium (no genus in NCBI)",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Chromatiaceae bacterium (no genus in NCBI)","Specialist"
"Chromatiales bacterium (no genus in NCBI)",0.0232337600758653,1.78108309319614e-14,5.21237096922578e-14,"Y","Chromatiales bacterium (no genus in NCBI)","Specialist"
"Chryseobacterium",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Chryseobacterium","Specialist"
"Citrobacter",0.0377436937219143,5.79430794683618e-14,1.18472903555847e-13,"Y","Citrobacter","Specialist"
"Clostridia bacterium (no genus in NCBI)",0.028217555045127,2.67780258586266e-14,6.43467971821972e-14,"Y","Clostridia bacterium (no genus in NCBI)","Specialist"
"Clostridiales bacterium (no genus in NCBI)",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Clostridiales bacterium (no genus in NCBI)","Specialist"
"Clostridioides",0.190414000261198,3.54433575244772e-09,4.39920264124947e-09,"Y","Clostridioides","Generalist"
"Clostridium",0.0200374031525514,1.36925475473331e-14,4.75089907324133e-14,"Y","Clostridium","Specialist"
"Cognatishimia",0.133535277041525,7.85135246396476e-11,1.09464822785262e-10,"Y","Cognatishimia","Generalist"
"Cohaesibacter",0.5060580371824,0.00991870977656352,0.0102199529306324,"N","Cohaesibacter","Generalist"
"Coleofasciculus",0.0858123569794051,2.44854320312608e-12,3.86035382799224e-12,"Y","Coleofasciculus","Generalist"
"Colwellia",0.14500537056928,1.74133180545303e-10,2.36655776527444e-10,"Y","Colwellia","Generalist"
"Companilactobacillus",0.0631578947368421,4.32780748078276e-13,7.36853466988291e-13,"Y","Companilactobacillus","Generalist"
"Coraliomargarita",0.0617603611678202,3.88188108321547e-13,6.69642763130955e-13,"Y","Coraliomargarita","Generalist"
"Corynebacterium",0.407142857142858,0.000293708771689752,0.000311385688504413,"Y","Corynebacterium","Generalist"
"Croceitalea",0.14519056261343,1.76366457010242e-10,2.39335814253899e-10,"Y","Croceitalea","Generalist"
"Croceivirga",0.33595473209135,1.23792158712077e-05,1.3580073937756e-05,"Y","Croceivirga","Generalist"
"Cronobacter",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Cronobacter","Specialist"
"Cupriavidus",0.0207075064710958,1.4469915156918e-14,4.77108835173527e-14,"Y","Cupriavidus","Specialist"
"Curvivirga",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Curvivirga","Specialist"
"Cutibacterium",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Cutibacterium","Specialist"
