ko,IT1,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT-C1,IT-H1,IT2,IT21,IT22,IT23,IT24,IT25,IT26,IT27,IT28,IT29,IT-C2,IT-H2,IT3,IT-C3,IT-H3,IT-C4,IT-H4,IT5,IT-C5,IT-H5,IT6,IT-C6,IT-H6,IT7,IT8,IT9,ST1,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST-C1,ST-H1,ST2,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST-C2,ST-H2,ST3,ST30,ST-C3,ST-H3,ST4,ST-C4,ST-H4,ST5,ST-C5,ST-H5,ST6,ST-C6,ST-H6,ST7,ST8,ST9
K02317,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K02332,3,2,4,4,8,0,0,6,2,2,2,0,4,10,7,13,10,466,3,2,8,2,6,10,6,6,3,12,6,0,8,4,4,12,4,4,6,6,199,0,0,0,4,0,0,0,0,0,2,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2
K02334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,5,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
K02335,2,0,8,6,3,11,9,3,12,1,0,6,8,6,3,29,185,27,20,9,3,5,1,0,0,9,0,0,0,0,10,31,0,5,65,18,2,2,20,33,8,92,0,56,0,8,217,86,0,3,34,28,44,2,79,38,10,115,275,222,391,6,11,0,17,64,134,857,8,104,0,2,34,5,37,0,0,32,0,0,0
K02336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2,0,0,0,12,0,0,3,0,0,0
K02337,11,24,2,1,12,11,9,8,3,0,6,0,9,4,2,58,293,133,4,1,3,6,6,1,2,20,2,11,8,5,17,36,5,2,40,15,9,9,21,73,10,87,4,58,8,14,231,113,4,3,40,26,44,7,66,42,8,196,356,283,446,6,4,2,63,99,154,1276,21,90,14,14,32,5,85,0,6,33,0,3,6
K02338,6,1,0,0,0,8,3,0,0,4,0,0,7,2,0,17,103,16,1,0,6,2,4,0,0,11,0,0,4,0,8,13,0,0,31,17,4,0,14,21,5,34,0,36,3,4,97,38,0,9,4,10,22,2,19,18,9,46,118,74,139,4,2,0,66,42,57,761,8,51,0,4,10,15,32,0,3,47,0,0,6
K02339,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,16,4,19,0,6,0,1,27,21,0,2,2,2,3,0,10,6,0,4,43,44,92,0,0,0,0,11,29,2,1,12,0,0,9,0,13,4,2,0,0,0,0
K02340,0,0,2,0,0,1,0,0,0,0,0,0,4,0,2,14,79,20,2,0,9,0,0,0,0,0,0,0,0,0,2,12,0,0,22,0,0,0,9,23,4,32,0,21,0,0,78,31,2,0,6,22,16,0,28,19,3,59,119,83,148,0,8,0,23,36,70,334,0,18,15,0,19,0,16,0,0,7,6,0,0
K02341,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,5,67,8,0,0,3,0,0,0,0,0,0,0,0,0,6,2,0,2,9,0,0,2,6,13,13,24,0,20,0,0,96,44,0,2,0,1,13,0,16,27,6,39,121,94,129,0,0,0,10,19,42,288,4,39,0,2,7,3,12,0,2,0,0,0,0
K02342,1,2,2,5,10,0,1,3,1,3,1,1,14,0,0,29,383,16,13,1,14,3,7,1,1,8,0,2,6,0,4,32,0,2,90,6,1,8,0,24,9,48,3,41,0,5,126,52,3,0,18,28,36,6,40,25,2,82,229,173,295,1,4,15,12,50,127,920,8,57,13,14,29,21,44,2,0,12,1,0,0
K02343,0,5,0,0,4,6,0,6,0,3,0,2,0,3,4,65,123,26,7,0,0,0,0,4,0,7,0,0,0,0,2,51,0,1,50,20,2,0,0,670,9,55,0,40,2,10,168,50,0,1,20,33,28,2,50,50,4,37,223,144,248,0,4,2,32,72,104,406,0,47,12,0,29,14,34,2,0,0,4,0,2
K02346,1,6,0,0,1,12,4,0,5,2,7,0,0,3,2,13,81,18,4,6,2,2,1,1,0,0,0,1,0,1,5,26,4,6,21,10,4,5,4,18,8,19,4,23,4,12,53,25,4,1,23,26,17,2,21,9,3,12,118,66,147,2,2,0,22,31,71,394,11,24,2,3,14,30,34,0,5,0,0,0,2
K02347,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0,2,0,0,0,0,0,0,0,2,0,0,0
K02348,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,15,0,9,0,2,21,8,0,0,0,22,12,0,8,1,0,33,43,43,54,0,2,0,2,9,34,68,2,17,0,0,13,1,3,2,0,0,0,0,0
K02355,12,9,4,4,2,17,10,16,3,11,17,5,36,21,11,123,411,55,17,9,30,4,24,1,4,31,0,3,6,4,29,87,2,3,62,8,13,8,19,1061,22,122,2,71,2,27,373,152,0,5,45,44,68,6,79,127,22,205,425,380,600,10,10,4,48,136,221,1154,20,130,23,14,53,26,67,4,4,30,3,0,8
K02356,0,10,2,0,0,7,0,0,0,4,0,0,0,0,0,11,65,0,5,1,0,0,3,0,0,5,0,0,0,0,2,10,0,4,9,0,0,0,0,373,10,34,1,22,0,9,88,37,0,1,2,12,3,0,13,26,6,19,122,116,157,0,3,0,10,19,92,198,0,47,2,3,18,12,16,0,0,17,0,0,4
K02357,0,3,0,6,0,0,1,2,1,2,5,0,0,1,4,22,125,8,0,2,5,0,0,0,0,0,0,3,0,1,9,24,3,0,3,0,0,3,4,421,9,33,0,20,2,4,76,34,0,0,5,21,12,0,24,12,2,46,108,111,110,0,5,0,14,38,35,330,0,37,0,14,10,8,11,0,0,2,4,0,0
K02358,4,14,10,8,3,25,4,17,9,3,7,10,14,2,12,96,224,91,1,2,38,6,24,0,5,10,0,0,22,2,20,40,3,12,27,28,8,10,89,598,10,31,4,7,0,18,80,34,3,0,18,38,27,2,37,31,4,54,116,112,124,5,4,0,14,29,62,352,15,46,18,11,15,19,60,1,0,29,2,2,12
K02361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,12,0,0,0
K02364,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,2,0,0,12,0,0,0,0,0,0
K02371,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,88,2,0,4,0,0,0,25,0,0,0,0,0,0
K02372,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17,53,3,1,0,0,0,2,0,0,9,0,0,0,0,0,6,0,0,8,4,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,200,0,0,2,0,0,0,0,0,0,2,0,0,0
K02377,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,111,10,0,0,8,0,2,0,0,1,0,0,0,0,4,0,0,2,8,0,0,0,0,24,0,15,0,11,0,4,39,12,0,0,11,12,4,0,4,12,8,50,38,57,96,0,1,0,0,15,43,105,0,15,2,0,6,4,4,4,2,0,0,0,1
K02379,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,4,81,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,8,0,0,0,0,15,6,17,0,22,0,0,56,38,4,0,2,0,9,0,23,7,4,2,77,73,103,0,4,0,22,25,54,160,2,26,4,2,11,1,16,0,0,2,0,0,2
K02380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
K02381,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K02385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
K02386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,9,0,0,0,0,0,0
K02387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,130,0,0,0,0,0,0,2,0,0,0,0,0,0
K02388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,7,0,0,0,0,0,0
K02389,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,51,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,197,0,0,0,8,0,0,2,0,0,7,0,0,0
K02390,0,0,0,0,0,0,0,4,0,0,0,2,0,0,8,22,181,10,2,0,6,0,11,0,0,0,0,0,10,2,1,12,0,0,64,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,18,0,0,816,12,0,4,0,0,3,25,0,0,21,0,0,0
K02391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
K02392,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,87,12,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,37,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,320,0,0,2,0,1,1,14,0,0,2,0,0,0
K02393,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,2,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,9,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,131,0,0,0,0,0,0,0,0,0,2,0,0,0
K02394,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,54,1,2,0,6,0,0,0,0,4,0,0,0,0,1,27,0,2,9,0,0,0,0,1,0,0,0,0,13,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,15,0,0,258,6,0,10,1,0,0,0,0,0,0,0,0,0
K02395,0,0,0,0,0,4,0,0,3,0,4,0,0,0,0,3,27,0,0,4,18,0,0,0,0,0,0,0,0,0,1,9,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,4,0
K02396,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,27,152,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,789,6,0,2,0,0,0,20,0,0,0,0,0,0
K02397,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,8,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,360,1,0,13,0,0,0,32,0,3,8,0,0,0
K02398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,12,0,0,0,0,0,0
K02399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
K02400,0,4,0,2,0,3,2,4,0,3,0,0,3,0,0,31,156,6,1,1,5,0,1,0,0,0,0,0,0,4,3,2,0,0,45,10,0,0,0,1,0,0,0,0,0,3,5,0,0,1,6,0,10,0,0,1,0,0,1,2,0,0,0,0,18,0,0,388,2,0,6,0,2,0,29,0,2,8,0,1,0
K02401,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,19,80,1,0,2,0,2,0,0,0,0,0,0,0,0,4,3,0,0,14,5,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,234,2,2,2,4,0,0,25,0,0,0,0,0,0
K02404,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,9,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,310,0,0,6,1,0,0,9,0,0,0,0,0,0
K02405,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,9,5,9,2,0,0,0,0,0,4,0,0,0,0,0,2,9,0,0,4,0,0,0,0,10,4,18,0,21,0,0,53,25,0,2,11,3,8,0,17,11,8,2,67,62,68,0,2,0,13,7,42,107,0,16,1,12,12,0,7,0,0,7,0,0,0
K02406,0,0,0,2,0,6,0,0,2,0,0,0,13,0,4,37,130,7,2,3,11,0,1,0,10,6,0,0,0,0,7,43,21,0,32,9,0,0,1,0,0,0,0,0,2,4,0,0,0,2,0,2,0,1,2,2,0,2,1,0,0,2,0,10,11,0,0,826,8,0,0,0,0,1,39,0,4,7,0,0,0
K02407,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,542,6,0,6,0,0,7,19,0,0,19,0,0,0
K02408,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
K02409,4,3,1,0,0,0,0,0,0,0,0,0,2,0,0,25,119,10,2,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,32,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,4,0,0,6,0,0,386,1,1,18,0,0,0,0,0,0,1,0,0,0
K02410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,107,11,0,0,6,2,0,0,0,5,0,0,0,0,0,22,0,0,24,10,0,7,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,231,0,0,0,2,0,0,23,0,0,6,0,1,0
K02411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,156,0,0,2,0,0,0,0,0,0,0,0,0,0
K02412,0,3,2,0,0,2,1,6,2,4,9,4,0,4,6,12,103,13,0,5,0,1,2,4,0,3,2,2,10,0,12,24,11,6,32,4,0,10,0,0,0,6,16,1,8,2,2,4,2,4,14,6,6,5,2,0,2,2,5,6,8,4,4,0,31,1,0,341,4,11,0,1,4,16,30,2,3,11,2,2,4
K02413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,4,0,0,0,0,0,0
K02414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0
K02415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,104,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0
K02416,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1,5,82,7,0,0,8,0,0,0,0,4,0,0,0,0,1,4,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,2,305,1,0,4,0,0,0,10,0,0,12,0,0,0
K02417,2,0,0,3,0,0,2,0,0,1,0,0,0,2,0,8,54,0,4,0,0,4,1,0,0,2,0,0,0,3,0,8,0,2,23,0,0,4,0,13,2,25,0,17,2,6,84,57,0,0,3,7,6,0,22,10,4,9,104,99,169,2,2,2,6,32,53,260,2,32,4,0,18,10,17,2,0,4,0,0,0
K02418,0,2,0,0,2,1,0,0,0,0,2,0,0,0,0,7,29,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,14,0,14,0,4,49,20,0,0,0,3,4,0,9,2,1,0,58,30,89,0,0,1,0,13,24,22,1,12,0,0,15,1,3,0,0,0,0,0,0
K02419,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,80,17,2,0,9,0,1,0,0,0,0,0,1,0,11,0,0,0,12,4,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,137,2,0,4,0,0,0,20,0,0,0,0,0,0
K02420,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,22,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,87,4,0,0,7,0,0,4,0,0,0,0,0,0
K02421,0,6,0,0,0,6,0,0,0,0,0,0,0,2,0,9,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,182,2,0,0,0,0,0,6,0,0,0,0,0,0
K02422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,175,0,0,0,0,0,4,1,0,0,0,0,0,0
K02424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K02426,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,42,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,149,0,0,2,0,0,0,19,0,0,17,0,0,0
K02427,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,46,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,10,2,18,2,23,0,0,45,28,2,2,0,8,8,0,17,9,1,2,83,61,98,0,4,0,0,20,49,18,2,28,2,0,10,4,21,0,0,0,0,0,0
K02428,0,5,0,0,4,2,2,2,1,1,8,0,0,1,0,9,40,12,0,2,5,1,7,0,0,7,0,0,0,2,1,28,5,3,13,3,0,1,6,10,6,21,0,15,6,9,53,38,0,2,11,2,6,3,9,15,0,57,68,52,79,0,6,0,10,12,30,246,6,19,4,0,17,16,20,0,0,12,0,0,0
K02429,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,2,0,0,0,5,0,4,0,3,0,0,13,2,0,0,0,2,4,0,5,12,0,116,22,28,36,0,0,0,22,2,13,262,0,0,4,0,2,0,8,0,0,0,0,0,0
K02431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
K02433,4,4,6,6,5,4,8,3,2,6,2,0,0,2,1,44,228,39,4,0,10,2,6,0,2,13,0,0,0,2,5,16,2,6,17,4,1,1,33,895,10,95,2,85,0,14,160,112,0,6,38,33,38,0,66,78,12,11,346,286,381,0,6,0,8,91,147,212,15,123,4,18,24,23,28,2,0,13,2,1,4
K02434,0,1,2,0,2,3,0,2,0,2,0,0,3,3,0,33,169,9,2,0,3,0,0,2,0,15,0,1,1,3,3,9,0,0,30,6,0,2,30,782,6,35,2,33,2,6,146,41,2,7,34,14,11,2,16,44,2,15,179,136,173,0,2,0,40,42,96,332,10,57,4,4,14,5,40,2,0,8,2,0,0
K02435,0,0,0,2,2,2,1,2,0,0,0,0,0,0,0,2,52,9,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,11,2,0,0,0,5,0,17,0,8,0,0,35,11,0,2,2,5,6,1,4,3,0,1,48,37,50,0,0,0,0,2,28,136,0,14,8,2,8,4,6,0,0,0,0,0,0
K02436,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
K02437,1,0,0,2,0,9,0,1,1,4,4,0,0,1,0,9,41,6,6,2,2,0,0,0,0,6,0,0,0,0,4,4,16,0,0,4,1,0,1,6,0,17,0,14,2,3,40,14,0,0,7,4,1,0,10,5,2,26,51,37,75,4,0,1,10,9,22,86,10,16,0,3,3,11,17,0,0,14,0,0,0
K02439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,8,0,0,0,0,0,0
K02440,2,0,0,2,2,4,0,0,4,0,0,0,0,0,0,4,2,10,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,17,4,28,4,14,0,2,67,26,0,1,22,20,10,2,8,7,4,2,76,90,102,0,0,0,0,12,52,9,0,18,0,0,12,2,0,0,0,0,0,0,1
K02441,0,2,3,2,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,5,6,13,2,11,5,0,64,27,2,0,11,2,18,0,11,10,7,8,99,84,94,0,0,0,0,29,50,11,0,37,0,5,8,6,5,0,0,17,0,0,0
K02444,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,134,6,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,8,0,4,0,0,39,18,0,0,2,6,1,1,8,0,0,3,30,15,31,0,0,0,0,10,28,58,4,7,2,0,2,2,7,1,0,0,0,0,0
K02445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
K02446,0,2,0,1,1,2,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,14,0,0,0,0,0,2,0,0,0,0,0,7,3,25,0,19,0,1,91,44,0,0,4,6,2,3,18,21,11,9,111,108,155,0,4,0,1,26,53,27,0,33,0,3,12,0,14,0,0,0,0,0,0
K02448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
K02450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,118,0,0,1,0,0,0,3,0,0,0,0,0,0
