"dataset","sample","habitat","reads","goods_coverage"
"KO","IT14","Intertidal",27736,0.991923853475627
"KO","IT15","Intertidal",20702,0.988793353299198
"KO","IT16","Intertidal",42342,0.993056539606065
"KO","IT17","Intertidal",28157,0.991050182903008
"KO","IT18","Intertidal",34806,0.993449405274953
"KO","IT19","Intertidal",28616,0.991333519709254
"KO","IT1C","Intertidal",13580,0.994845360824742
"KO","IT1H","Intertidal",21309,0.993852362851377
"KO","IT2","Intertidal",23582,0.991518955135273
"KO","IT21","Intertidal",27773,0.99225866849098
"KO","IT22","Intertidal",86208,0.997749628804751
"KO","IT23","Intertidal",337076,0.999685530859509
"KO","IT24","Intertidal",186983,0.999240572672382
"KO","IT25","Intertidal",28079,0.991167776630222
"KO","IT26","Intertidal",15183,0.988605677402358
"KO","IT27","Intertidal",35257,0.993589925404884
"KO","IT28","Intertidal",22121,0.989512228199449
"KO","IT29","Intertidal",19854,0.989120580235721
"KO","IT2C","Intertidal",18442,0.994740266782345
"KO","IT2H","Intertidal",20843,0.994770426522094
"KO","IT3","Intertidal",123722,0.998108662970207
"KO","IT3C","Intertidal",28507,0.997965412004069
"KO","IT3H","Intertidal",15893,0.993519159378343
"KO","IT4C","Intertidal",20048,0.994712689545092
"KO","IT4H","Intertidal",40032,0.997576938449241
"KO","IT5","Intertidal",35702,0.992997591171363
"KO","IT5C","Intertidal",62918,0.997584157156934
"KO","IT5H","Intertidal",30369,0.995785175672561
"KO","IT6","Intertidal",22294,0.991881223647618
"KO","IT6C","Intertidal",71090,0.998354198902799
"KO","IT6H","Intertidal",29999,0.994466482216074
"KO","IT7","Intertidal",26994,0.993257760983922
"KO","IT8","Intertidal",26703,0.991911021233569
"KO","IT9","Intertidal",63175,0.99610605461021
"KO","ST1","Subtidal",359837,0.999710980249391
"KO","ST10","Subtidal",50778,0.997774626806885
"KO","ST11","Subtidal",168591,0.999703424263454
"KO","ST12","Subtidal",67215,0.998452726325969
"KO","ST13","Subtidal",123033,0.999691139775507
"KO","ST14","Subtidal",45659,0.99798506318579
"KO","ST15","Subtidal",50205,0.996454536400757
"KO","ST16","Subtidal",424622,0.999788046780431
"KO","ST17","Subtidal",179086,0.99988273790246
"KO","ST18","Subtidal",29382,0.996222176842965
"KO","ST19","Subtidal",31579,0.992938345102758
