genus,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30
Unclassified Thiotrichaceae,0.000851398,0.000224133,0.000563539,0.000473449,0.000890769,0.000496497,0.000526593,0.000438337,0.000873148,0.000380264,0.000741157,0.000862813,0.000328677,0.000542633,4.76E-05,8.49E-05,0.000282614,0.000668142,0.000194899,0.000609385,0.000973382,0.000190296,0.000978474,0.000920931,0.000924241,0.001023687,0.000192456,0.001021876,0.001982348,0.000231718,0.004084411,0.000540771,0.000768546,0.002432366,6.43E-05,0.000106411,0.009923294,0.002827141,0.000955889,0.006653028,0.000131561,0.00224678,0.001740546,0.001243036,0.000630787,0.000479742,5.16E-05,0.005122242,0.005281723,0.000110649,0.000210456,0.000159829,0.000896096,0.003397872,0.008440828,0.012588846,0.006876521
Unclassified Flavobacteriales,0.001408082,0.002587718,0.003127642,0.001644614,0.001670193,0.003585811,0.002106372,0.001829582,0.001800868,0.000974427,0.002351257,0.002372735,0.002903314,0.000699162,0.000567724,0.001204157,0.002232648,0.001545079,0.002046435,0.001862008,0.003069896,0.000641369,0.002357232,0.002598342,0.001964012,0.00247391,0.001594633,0.00053452,0.002499483,0.000744807,0.002159574,0.00060932,0.002899513,0.004462255,0.0002596,0.00047353,0.003564402,0.00277329,0.00082766,0.001822276,0.000632745,0.001239889,0.002751186,0.000368489,0.000205938,0.000289886,0.000215774,0.001722133,0.00442321,0.000424156,0.000309108,0.000444524,0.000712558,0.004359533,0.001644879,0.000846683,0.001688099
Chlorobiales bacterium (no genus in NCBI),0.000196477,0.000326012,0.000112708,0.000523286,0.000408269,0.000661996,0.001439354,0.00051457,0.00032743,0.000166366,0.0005367,0.000369777,0.009750753,0.000166964,0.021216832,4.50E-05,0.000480443,0.002422015,0.000341072,0.001794299,0.000262064,8.46E-05,0.054327522,0.001710301,0.000837594,0.000369665,8.25E-05,0.003545124,1.72E-05,2.76E-05,0.000140842,0,0.000209603,0.000209988,9.19E-06,1.06E-05,0.000256637,0.000107701,8.16E-05,0.000120339,1.25E-05,0.000158107,8.42E-05,4.91E-05,2.43E-05,1.02E-05,1.59E-05,4.42E-05,9.33E-05,2.46E-05,6.58E-06,5.49E-05,2.16E-05,0.000256443,0.000151502,8.91E-05,0.000124125
Unclassified Bacteroidia,0.004191499,0.002628469,0.003099465,0.00231741,0.003860001,0.003144481,0.003826575,0.002344152,0.002892303,0.002947048,0.003169086,0.004190805,0.003834566,0.003850609,0.000490442,0.000759468,0.003447886,0.004718754,0.003629985,0.004130273,0.003930965,0.001226354,0.001534424,0.004275753,0.002657193,0.003241675,0.001209722,3.93E-05,0.000379232,0.001903396,0.003790991,9.90E-05,0.000209603,0.000787457,0.00014703,0.000143655,0.001853489,0.000242326,0.000687774,0.000618886,0.000112766,0.000657391,0.001572106,0.006215178,3.57E-05,5.51E-05,0.000374627,0.000264944,0.000186633,9.22E-05,3.29E-05,0.00014984,0.001662636,0.00083344,0.000303004,0.001470555,0.003202423
Marinifilum,0.002816163,0.001568931,0.00202874,0.001619695,0.003266154,0.003282396,0.003299982,0.002706257,0.003820022,0.001734956,0.005929258,0.003081474,0.00230074,0.002389673,0.000359658,0.000254822,0.00228917,0.005804485,0.001754087,0.002098991,0.002358579,0.000838713,0.003357943,0.002861466,0.002657193,0.00381039,0.001058507,0.000288221,0.002637385,0.000899286,0.002617309,0.00058647,0.004506472,0.001802401,0.000124057,0.000319234,0.001796458,0.002746365,0.001235662,0.002234867,0.000676598,0.000882069,0.002414306,0.001734354,0.000317826,0.000173524,0.000371979,0.002075391,0.00274351,0.000264329,0.000170996,0.000584375,0.000939281,0.004231312,0.001644879,0.001403712,0.002383198
Unclassified Pseudomonadales,0.004224245,0.005093932,0.0003663,0.001968553,0.000630962,0.001213659,0.001720204,0.005279107,0.003028732,0.003873942,0.002990186,0.002742512,0.002875924,0.001961828,0.001260288,0.0045718,0.002260909,0.001419802,0.005164811,0.00331776,0.001909326,0.002438612,0.002312756,0.00164452,0.000462121,0.003952569,0.001388431,0.000597404,0.000586086,0.00056826,0.002406047,0.000472223,0.001379889,0.000577468,0.000202166,0.000415004,0.003421826,0.00188476,0.000757717,0.002320824,0.000557567,0.001397996,0.001291373,0.000167048,0.000463766,0.000498115,0.00024225,0.005239995,0.002482223,0.000313507,0.000305819,0.000544417,0.002105286,0.001474548,0.004198771,0.005681692,0.003177598
Unclassified Pseudanabaenaceae,0.003143624,0.001731937,0.003071288,0.002417084,0.003525962,0.002123904,0.002457434,0.001429361,0.002073726,0.002709383,0.003424658,0.002557624,0.002958094,0.001022655,0.000321017,0.000549615,0.003052227,0.004008853,0.00231442,0.00223441,0.003519149,0.000909193,0.002112613,0.002861466,0.002252838,0.002388603,0.000893544,0.000238438,0.003775081,0.000430333,0.008180559,0.000403674,0.004087265,0.000384979,0.000402035,0.000164937,0.004020645,0.006462036,0.001095775,0.001564407,0.000883337,0.000931997,0.006569159,0.001488695,0.000204317,0.000326633,0.000223717,0.003238199,0.0005599,0.000227446,0.000197303,0.000799145,0.000744947,0.001795102,0.00082244,0.003475858,0.003127948
Unclassified Schleiferiaceae,0.001178859,0.001161417,0.003240349,0.002915452,0.002635193,0.001379158,0.002106372,0.001505594,0.001609867,0.001497291,0.002300143,0.001448293,0.002163791,0.000427845,0.000104033,0.000174878,0.002458738,0.002797845,0.000243623,0.001557316,0.002583205,0.000895097,0.002401708,0.001940534,0.002628311,0.002189553,0.001250962,0.000702212,0.003723368,0.001202725,0.00611488,0.000936829,0.005554488,0.003517307,0.000507713,0.000787443,0.005931164,0.0044965,0.001690292,0.003696127,0.001591259,0.001464567,0.004070632,0.000908939,0.000467009,0.000643058,0.000619524,0.003988872,0.00363935,0.000608572,0.00046695,0.00086907,0.00173821,0.005000641,0.002164315,0.001114057,0.004518147
Pseudomonadota bacterium (no genus in NCBI),0.001866527,0.000753902,0.000958016,0.004285963,0.001818654,0.002565234,0.003159558,0.002134512,0.003683593,0.001378458,0.001661214,0.001694811,0.002026842,0.002702731,0.000404243,0.005481163,0.001836988,0.003507746,0.002143884,0.00446882,0.00250833,0.043450988,0.002290518,0.003058808,0.002426133,0.005004692,0.007327065,2.88E-05,0.000775702,0.000319991,0.000152579,0.000251344,0.001868963,0.000139992,0.000135543,0.000106411,0.000199606,0.001103931,0.000256458,0.000206295,0.000162885,0.000857105,0.000449173,0.000250572,8.43E-05,0.00012657,0.000105901,0.000853707,0.00061589,0.000141385,0.000167707,0.00022476,0.000852911,0.001730991,0.000324647,0.000490185,0.00014895
Amphritea,0.003733054,0.004095521,0.000253593,0.00124592,0.000445385,0.000110333,0.001193611,0.004402432,0.002428443,0.003184713,0.002019015,0.001972143,0.002519858,0.001137443,8.62E-05,0.000434696,0.001102193,0.000668142,0.002582406,0.003046923,0.000599004,0.001226354,0.001289806,0.000559137,0.005343269,0.001279609,4.12E-05,0.001640242,0.000189616,2.76E-05,0.008661769,0.000723567,0.000419207,8.75E-05,9.19E-06,2.13E-05,0.006701075,0.000646204,0.000198172,0.007203149,1.88E-05,0.003644776,0.002666966,6.39E-05,0.0012259,0.000751255,2.91E-05,0.01304111,0.006065583,1.23E-05,0.000289378,9.99E-06,0.001349542,0.001218105,0.011925374,0.017357011,0.011692567
