genus,IT1,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT-C1,IT-H1,IT2,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27,IT-C2,IT-H2,IT3,IT-C3,IT-H3,IT-C4,IT-H4,IT4,IT-C5,IT-H5,IT5,IT-C6,IT-H6,IT6,IT7,IT8,ST1,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST-C1,ST-H1,ST2,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST-C2,ST-H2,ST3,ST30,ST-C3,ST-H3,ST4,ST-C4,ST-H4,ST5,ST-C5,ST-H5,ST6,ST-C6,ST-H6,ST7,ST8,ST9
Puniceibacterium,1,1,0,0,0,0,0,4,2,0,10,0,0,3,0,1,6,0,0,6,3,4,1,1,0,0,0,0,0,4,2,5,26,2,0,5,2,1,0,3,3,2,2,0,0,0,0,0,1,2,27,4,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,11,7,0,3,2,0,1,1
Puniceicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Puteibacter,0,2,4,0,0,0,4,4,0,4,0,4,2,2,4,4,5,8,6,0,4,2,4,0,2,0,2,0,4,2,2,6,0,1,5,2,4,2,0,0,0,2,0,4,0,0,0,2,0,0,0,4,0,0,14,10,0,0,0,1,0,0,0,0,14,0,0,567,0,4,0,0,0,0,5,0,2,0,0,2,0
Pyruvatibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,2,0,0,0,0,0,4,4,1,0,0,0,0,0,0,9,0,0,0,0,0,0
Ralstonia,4,4,2,2,16,2,8,2,2,8,1,4,18,28,20,4,14,0,2,2,2,0,4,14,10,14,14,0,14,6,2,10,3,6,10,12,16,6,12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Reyranella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheinheimera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,6,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0
Rhizobiaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizobium,0,0,0,3,0,2,0,0,1,0,0,0,0,0,8,0,5,6,0,0,29,0,2,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizomicrobium,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodobacter,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0
Rhodobacterales bacterium (no genus in NCBI),3,20,0,0,0,0,0,5,0,0,0,0,0,0,4,1,28,4,0,0,139,2,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,1,4,0,1,0,0,0,0,4,2,0,0,0,1,0,0,0,0,4,0,0,4,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Rhodobium,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodophyticola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodospirillaceae bacterium (no genus in NCBI),1,1,0,2,1,5,1,5,4,7,9,0,0,1,3,0,244,2,0,9,1,2,0,2,0,4,0,0,0,3,0,2,18,2,0,0,0,5,8,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Rhodospirillales bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodovulum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0
Richelia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rickettsia,0,0,0,0,0,6,6,0,0,0,0,0,0,0,27,0,278,0,0,8,2,0,2,0,0,17,0,0,0,2,2,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rickettsiales bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Robiginitomaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseibium,6,3,0,2,0,7,0,3,4,8,3,0,2,10,2,2,6,53,0,6,12,2,4,2,0,0,0,0,0,0,6,10,1,8,0,4,0,34,6,7,0,0,0,0,0,0,4,0,0,6,0,0,0,0,2,2,0,0,4,0,2,1,0,2,0,2,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0
Roseitalea,0,0,1,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,2,3,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,11,2,0,2,0,0,0,1
Roseivirga,4,3,4,4,2,12,8,9,3,2,9,0,4,15,2,13,0,11,4,8,7,4,2,0,4,6,0,5,5,4,22,0,2,6,10,4,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,1,2,0,0,0,0,16,0,5,0,0,2,0,0,3,0,0,0,0,0,0,0
Roseobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roseospira,4,14,8,14,14,3,6,18,10,11,12,25,14,7,12,2,57,6,7,6,6,15,6,4,3,10,11,9,12,7,42,11,18,4,14,9,4,18,8,1,0,4,13,0,6,7,0,0,3,1,8,0,0,2,0,0,3,0,4,0,2,0,4,0,2,2,0,0,0,0,0,0,1,8,1,2,0,1,0,8,0
Roseovarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ruegeria,129,128,36,64,41,354,46,50,62,47,74,41,44,396,75,151,144,221,62,68,52,41,32,56,27,66,35,41,98,59,70,519,169,61,97,117,41,437,52,3,24,20,27,9,16,20,28,15,13,10,72,44,17,16,24,7,27,8,43,22,53,27,37,0,1,12,13,12,15,30,100,33,7,77,171,3,10,19,7,16,18
Ruminococcus,2,1,0,2,0,0,0,12,4,8,0,0,0,2,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saccharicrinis,2,3,0,0,1,4,0,3,2,3,4,0,1,0,0,3,0,0,0,0,0,0,2,2,0,2,0,0,0,0,3,4,7,0,7,0,0,0,0,1,2,9,20,0,7,3,5,1,0,6,25,5,10,2,0,6,0,9,6,1,5,0,3,0,34,1,0,521,0,2,3,0,3,21,60,2,0,19,0,1,2
Sagittula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salibacter,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salidesulfovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salinisphaera,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,21,14,32,0,14,0,4,45,24,2,0,7,4,14,0,8,25,2,6,73,58,64,0,0,0,0,18,30,0,2,24,0,0,10,14,8,2,0,0,0,0,2
Salinivirgaceae bacterium (no genus in NCBI),0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonella,0,2,0,1,3,0,0,0,0,1,0,1,1,4,21,2,0,7,0,8,0,3,3,3,0,4,3,0,7,0,0,0,2,0,1,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,15,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0
Salmonella enterica (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,1,0,0,3,0,0,3,0,2,0,0,0,0,0,0
Sansalvadorimonas,10,53,32,30,31,76,44,27,29,37,53,14,19,27,28,13,17,4,43,5,5,16,20,2,7,31,12,11,3,12,34,11,30,36,16,29,48,17,13,460,183,594,19,509,27,135,1562,734,9,27,208,317,444,27,472,405,146,151,2424,1921,3121,9,53,36,22,638,1161,26,35,721,39,61,301,232,155,6,2,0,7,1,13
Saprospiraceae bacterium (no genus in NCBI),4,0,2,4,4,2,2,0,4,2,1,0,2,0,4,10,4,9,0,0,42,2,2,0,2,0,0,0,2,0,6,2,5,4,0,2,0,4,2,0,0,0,0,1,0,0,0,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,18,0,0,0,1,0,0
