genus,IT1,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT-C1,IT-H1,IT2,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27,IT-C2,IT-H2,IT3,IT-C3,IT-H3,IT-C4,IT-H4,IT4,IT-C5,IT-H5,IT5,IT-C6,IT-H6,IT6,IT7,IT8,ST1,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST-C1,ST-H1,ST2,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST-C2,ST-H2,ST3,ST30,ST-C3,ST-H3,ST4,ST-C4,ST-H4,ST5,ST-C5,ST-H5,ST6,ST-C6,ST-H6,ST7,ST8,ST9
Teredinibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,46,0,0,0,0,0,0
Terriglobia bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrisporobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalassolituus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalassospira,1,0,0,0,0,0,0,0,1,1,6,0,0,0,0,12,8,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Thalassotalea,3,6,4,3,2,9,0,2,8,1,3,1,3,3,2,8,2,0,4,12,0,2,0,0,0,8,6,5,12,0,1,19,11,9,16,4,2,0,3,28,16,11,0,14,11,12,20,14,2,2,6,0,43,0,26,16,0,6,62,37,69,2,5,2,0,13,22,0,4,19,0,2,14,10,7,0,1,1,2,0,0
Thermoanaerobaculia bacterium (no genus in NCBI),0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,42,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermoflexibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,46,103,0,0,0
Thioalkalivibrio,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,3,0,0,1,2,2,2,0,0,0,0,9,1,5,4,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Thiocystis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiohalocapsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiolapillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiomargarita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiorhodococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiorhodovibrio,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiothrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiotrichaceae bacterium (no genus in NCBI),15,14,20,3,10,11,10,24,30,7,36,0,6,14,5,24,10,6,3,15,3,8,1,6,9,13,18,10,20,18,15,53,84,13,4,13,11,23,1,14,25,11,40,5,12,6,4,3,7,2,42,11,3,14,7,12,1,6,38,10,9,23,25,4,6,4,1,15,15,10,16,134,1,70,56,2,25,671,17,10,16
Thiotrichales bacterium (no genus in NCBI),0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tissierellales bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0
Treponema,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Trichodesmium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0
Tritonibacter,0,0,0,0,0,1,2,7,1,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,28,2,6,0,0,12,0,0,6,14,9,0,0,2,0,0,0,17,37,2,1,0,0,0,10,0,0,0,0,0,55,16,14,187,0,0,0,1,2,0
Ulvibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Abditibacteriota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Acanthopleuribacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Acanthopleuribacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Acetobacteraceae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Acholeplasmatales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,13,2,0,2,2,0,11,0,0,0,0,0,0,0,0,3,0,2,1,0,1,1,0,1,0,0,2,5,1,0,7,0,0,0,0,0,4,2
Unclassified Acidaminobacteraceae,0,4,2,1,2,0,0,3,0,0,2,1,2,2,2,2,0,0,2,1,0,0,0,0,0,2,2,8,2,2,2,62,4,3,26,10,0,4,0,4,1,1,5,2,3,4,0,1,1,5,8,4,0,0,2,0,1,0,0,1,0,2,0,0,8,1,0,124,0,0,0,2,1,0,17,2,0,10,0,0,4
Unclassified Acidimicrobiaceae,6,0,0,5,0,2,2,5,2,2,2,0,3,0,6,9,12,4,2,0,1,1,2,0,1,3,2,0,2,0,1,7,14,4,1,2,0,4,534,0,0,0,6,0,0,0,0,0,0,0,10,2,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,3,2,0,1,0,3,9,0,0,0,0,0,1
Unclassified Acidimicrobiales,0,2,0,0,0,0,1,1,0,2,2,0,0,0,0,6,456,4,0,0,0,1,0,0,0,0,0,1,2,0,0,0,10,0,0,0,0,3,100,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0
Unclassified Acidimicrobiia,1,11,2,1,0,9,7,10,3,3,2,1,0,0,0,10,75,86,5,4,2,0,2,0,2,16,0,0,2,2,29,0,6,3,0,0,3,8,188,16,0,5,3,2,4,3,3,1,0,1,2,1,4,10,0,2,2,0,2,3,5,2,3,0,0,0,2,32,0,3,0,0,0,1,1,1,0,0,1,0,1
Unclassified Acidobacteriaceae,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Acidobacteriota,120,1220,53,97,39,641,55,186,61,110,68,60,51,86,74,336,8688,9756,185,70,564,49,198,63,94,233,43,36,83,51,133,91,124,53,59,83,60,331,420,37,10,54,52,422,17,55,183,340,9,25,52,45,4,6,73,51,8,20,733,148,126,84,25,12,10,31,29,195,14,78,7,8,33,52,108,6,8,40,4,12,20
Unclassified Actinomycetes,3,3,5,2,1,7,0,6,1,3,15,0,2,1,5,1,88,102,0,5,14,4,1,0,0,2,1,3,1,2,7,9,26,5,10,0,2,6,21,10,7,10,4,3,6,2,4,6,2,0,48,22,4,4,7,7,6,2,2,7,8,8,6,0,2,2,0,80,1,4,0,5,5,34,33,0,1,6,4,0,2
Unclassified Actinomycetota,26,46,25,27,18,25,30,76,24,34,39,2,10,25,27,41,499,209,16,36,69,20,35,8,20,60,7,28,6,9,89,42,94,24,29,20,21,30,103,26,12,8,28,14,19,16,37,4,11,7,12,7,2,14,3,32,13,7,24,13,27,21,11,2,10,1,9,136,4,10,9,0,4,13,9,4,5,11,3,8,8
Unclassified Aeromonadaceae,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,38,0,0,2,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,33,0,0,6,0,4,0,0,2,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Aeromonadales,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,11,8,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Ahrensiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Akkermansiaceae,2,3,1,0,0,6,0,3,5,0,6,1,1,0,0,2,10,2,2,3,2,4,0,6,0,3,0,0,0,0,4,4,29,0,6,2,0,11,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,1,0,0,0,0,0,0
Unclassified Alcaligenaceae,0,0,0,0,1,0,0,1,0,2,0,0,0,0,2,0,64,2,0,0,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,3,12,5,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,1,0,0,0,3,18,0,0,0,0,0,0
Unclassified Alicyclobacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Alphaproteobacteria,1704,1848,1314,1851,1024,1558,1321,3040,1700,1906,1731,863,847,1516,1965,2702,145411,12754,1627,1153,3172,1655,1758,1063,1077,4825,1212,938,1257,1552,2944,1435,1680,1368,1262,1116,1296,1988,2935,1464,688,785,1827,493,1045,1080,1079,458,814,824,788,552,429,821,594,1580,360,556,1588,1387,1288,1764,835,564,676,507,667,613,342,638,278,366,585,799,1310,274,706,537,713,1124,851
Unclassified Alteromonadaceae,12,11,20,23,5,21,11,26,20,14,15,13,241,9,14,41,51,14,14,20,27,15,22,16,7,25,4,27,70,31,18,62,49,17,11,16,11,17,16,18,10,38,13,1,144,10,23,44,4,5,69,408,13,7,34,10,13,13,7,6,51,33,6,0,15,8,4,111,34,57,45,53,17,50,200,2,6,48,4,4,6
Unclassified Alteromonadales,1,9,6,9,2,13,3,5,7,4,18,5,56,17,4,705,53,5,7,12,11,12,0,5,12,8,2,1,21,2,17,135,71,9,50,5,5,11,2,28,12,40,18,18,34,13,12,10,8,4,17,63,46,2,9,25,8,14,27,19,47,1,4,8,32,35,17,259,10,19,66,32,6,13,67,0,5,3,7,18,3
Unclassified Amoebophilaceae,0,0,0,0,0,32,2,0,4,0,2,0,0,0,41,5,307,0,0,12,4,0,3,0,4,7,0,0,0,0,3,1,4,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Unclassified Anaerohalosphaeraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,4,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Anaerolineaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Anaerolineae,1,2,6,0,0,11,0,4,0,0,0,0,0,0,2,0,417,6,0,4,7,0,11,0,0,15,0,0,0,0,2,0,0,0,15,14,0,4,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,1,8,0,0,1,0,0,0
Unclassified Anaerolineales,3,1,0,0,0,10,0,0,0,1,0,0,0,0,0,0,305,17,0,12,13,0,0,0,0,5,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,6,0,0,0,0,0,0
Unclassified Aphanizomenonaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Archangiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Arcobacteraceae,33,139,25,41,19,817,41,50,59,43,71,211,2861,29,209,8909,352,44,39,48,115,137,40,140,182,48,100,38,47,786,63,2549,109,76,28727,3649,41,46,45,36,45,51,112,28,179,49,15,16,34,68,448,96,121,33,49,77,23,196,193,44,73,33,134,781,10689,7,20,339888,381,32,4508,134,21,389,1286,22,685,2044,29,29,20
Unclassified Ardenticatenaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Arenicellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,18,0,0,4,0,0,0,0,0,0
Unclassified Armatimonadota,0,0,0,0,1,1,0,0,0,0,3,0,0,2,1,11,9,0,0,5,2,0,0,0,0,0,0,0,0,3,2,18,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,74,2,0,4,0,0,0,0,0,0,0,0,0,0
Unclassified Atribacterota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Aurantimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Azospirillaceae,0,1,1,1,0,1,0,5,3,0,0,0,0,0,2,2,452,19,0,0,2,1,2,0,0,3,0,0,1,0,6,1,0,2,0,0,3,4,2,2,0,6,0,0,0,12,2,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0
Unclassified Bacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,4,0,0,0,13,0,0,0,0,0,0
Unclassified Bacillales,0,0,1,0,0,0,0,0,0,2,3,0,2,0,2,34,12,6,0,0,0,2,0,0,1,0,0,1,0,6,0,36,0,4,0,0,0,1,0,39,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,7,0,0,586,0,0,9,0,0,1,26,0,0,25,0,0,1
Unclassified Bacilli,1,0,0,4,1,12,2,3,2,2,0,2,2,0,0,12,33,9,0,0,7,0,3,2,1,4,2,4,2,3,4,60,5,0,4,8,3,2,5,4,0,1,10,0,0,2,4,2,2,0,4,10,0,0,230,2,0,0,0,0,0,1,2,0,30,0,0,287,11,0,4,5,0,15,26,0,10,10,0,0,0
Unclassified Bacillota,36,38,67,21,31,82,39,39,47,29,55,22,30,44,127,836,156,70,10,53,13,42,42,33,26,56,15,37,37,87,46,1070,125,38,303,113,25,43,35,969,52,48,110,36,85,32,37,32,41,53,90,17,46,57,776,45,26,37,75,25,74,41,36,11,247,19,10,10507,72,39,105,14,26,80,576,20,30,164,20,21,35
Unclassified Bacteria,4801,7110,6962,7235,5150,5232,4436,8590,6265,7016,5739,6095,6900,5592,5797,27845,39102,42645,5143,3444,7217,4244,4015,6384,7582,22726,7949,6181,7518,12779,7173,17400,10327,4877,10806,8368,6465,5971,13816,237122,6936,15597,14518,10275,11045,8236,56747,12844,6275,5420,9898,10710,7441,10401,29822,19367,4254,6384,39058,31125,47497,13113,7840,9675,16058,10829,17797,268235,7643,14733,9204,5362,8501,9732,20185,2733,10201,26993,7680,6211,6486
Unclassified Bacteriovoracaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Bacteriovoracales,4,7,4,2,5,9,6,7,5,6,9,0,6,6,15,3,6,2,2,10,3,2,5,2,14,5,2,11,2,0,6,37,15,3,8,10,1,10,2,2,4,2,2,2,2,0,0,0,4,1,0,2,1,0,2,0,2,0,3,0,1,3,0,0,1,0,1,46,0,0,0,0,0,9,8,0,0,0,0,0,0
Unclassified Bacteroidaceae,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,6,2,0,0,0,2,2,0,2,0,0,0,4,2,0,2,0,2,2,0,0,0,2,0,0,2,0,266,0,0,0,4,2,0,2,0,0,18,0,0,7
Unclassified Bacteroidales,14,8,13,5,4,9,6,25,10,2,39,4,5,6,13,93,49,11,5,23,14,8,12,4,10,5,0,3,13,9,19,246,80,15,77,23,14,23,3,689,12,18,42,4,51,15,13,5,2,11,94,26,6,17,27,33,8,117,18,7,12,6,15,4,192,9,4,12974,28,33,46,9,3,61,277,5,16,93,26,3,11
Unclassified Bacteroidia,128,129,110,93,104,114,109,123,106,124,124,156,146,136,140,369,165,152,122,113,149,122,105,176,97,174,254,104,372,202,69,690,148,130,453,150,92,114,88,15,22,345,323,13,12,45,64,27,65,9,155,105,59,36,18,79,56,1265,22,27,283,18,10,19,733,15,10,32749,78,30,264,62,154,111,794,13,18,415,14,66,129
Unclassified Bacteroidota,192,471,170,281,225,479,264,434,236,252,354,205,189,252,463,1162,2362,1292,291,320,3678,189,274,194,178,502,243,143,644,345,446,2502,601,250,983,528,319,263,307,244,159,444,481,106,705,283,339,197,247,255,579,201,179,224,263,302,144,3767,325,340,672,560,513,236,2233,182,96,90974,210,311,377,156,217,420,2234,114,260,14650,175,111,171
Unclassified Balneolales,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,188,2,4,2,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,1
Unclassified Balneolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Balneolota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Bdellovibrionales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Bdellovibrionia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,6,0,0,0,0,0,0
Unclassified Bdellovibrionota,2,0,2,0,0,12,1,3,4,0,13,0,0,3,8,4,0,2,10,5,2,4,6,4,12,4,2,2,4,4,5,49,20,8,10,3,3,4,6,0,0,2,3,2,4,6,0,0,6,48,1,19,0,53,0,0,0,4,1,0,0,0,3,0,0,0,0,308,2,1,0,4,0,13,18,32,0,24,54,0,0
