"KO","logFC","logCPM","F","PValue","FDR","direction","paths"
"K00343",3.80667569526727,5.51286160402118,32.4493785622074,2.08182314843149e-07,1.84793157181554e-06,"Intertidal-enriched","Metabolism; Energy metabolism; Oxidative phosphorylation"
"K01782",4.29278790038933,5.0521418098855,32.3699898040836,2.14270907898754e-07,1.89626536209498e-06,"Intertidal-enriched","""Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Tryptophan metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Metabolism; Metabolism of terpenoids and polyketides; Limonene and pinene degradation | Metabolism; Metabolism of terpenoids and polyketides; Geraniol degradation | Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation"""
"K01563",3.95993154751416,4.50905012675625,32.218890575994,2.26369703772634e-07,1.99733987131124e-06,"Intertidal-enriched","Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Chlorocyclohexane and chlorobenzene degradation"
"K10227",4.22740723448338,5.17785502385309,32.1599970969999,2.31273515959714e-07,2.03451657174113e-06,"Intertidal-enriched","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K11532",3.74548362211137,4.30381827826123,32.0712973280883,2.38866030178698e-07,2.09505413969233e-06,"Intertidal-enriched","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Energy metabolism; Methane metabolism"
"K14157",3.91137684156523,4.43898906762796,32.0281974418638,2.42647265257999e-07,2.12190353327989e-06,"Intertidal-enriched","Metabolism; Amino acid metabolism; Lysine degradation"
"K02025",3.58448938796237,6.0145268928783,31.9528296471955,2.49407878036157e-07,2.16815639106948e-06,"Intertidal-enriched","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K19519",4.17490506844494,4.97687806589264,31.9529570410841,2.49396288797997e-07,2.16815639106948e-06,"Intertidal-enriched","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Signaling proteins"
"K06726",-4.96648743289589,4.74385797381605,34.7688163874556,2.8285669088747e-07,2.45170196483933e-06,"Subtidal-enriched","Environmental Information Processing; Membrane transport; ABC transporters"
"K07237",-3.71802456988481,4.83193796403296,31.5623735541554,2.8766295450363e-07,2.48604905255776e-06,"Subtidal-enriched","""Genetic Information Processing; Folding, sorting and degradation; Sulfur relay system | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"""
"K12997",-5.15070907408858,4.84513702426272,34.6652955316031,2.92002651461603e-07,2.51617489431972e-06,"Subtidal-enriched","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins"
"K05526",3.52000761524078,4.20103155005302,31.4242430740639,3.02598056961218e-07,2.59987310164638e-06,"Intertidal-enriched","Metabolism; Amino acid metabolism; Arginine and proline metabolism"
"K08166",3.28925719089071,4.12450851828511,31.4118258720331,3.03979088271616e-07,2.6041464335362e-06,"Intertidal-enriched","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K17489",3.98868577612531,4.60162940048778,31.3734274877159,3.08290839876639e-07,2.63342929019262e-06,"Intertidal-enriched","Metabolism; Carbohydrate metabolism; Propanoate metabolism"
"K07670",3.93232283108012,4.57371087595617,31.3399174209016,3.12105011488855e-07,2.65830482328803e-06,"Intertidal-enriched","Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system"
"K01996",3.39913411519906,6.8747301148959,31.1146984647179,3.3902988214444e-07,2.87931141982612e-06,"Intertidal-enriched","Environmental Information Processing; Membrane transport; ABC transporters | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K01969",3.86436735153635,5.24121866063277,31.0789344543078,3.43520118954178e-07,2.90906261654587e-06,"Intertidal-enriched","""Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"""
"K01999",3.72448634246786,6.7266163918267,30.9327579892987,3.62517470020187e-07,3.06114322105872e-06,"Intertidal-enriched","Environmental Information Processing; Membrane transport; ABC transporters | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K04751",3.58553426845133,5.26839199477284,30.8978650968785,3.67209711109096e-07,3.09190576753859e-06,"Intertidal-enriched","Environmental Information Processing; Signal transduction; Two-component system"
"K00381",4.08150177596174,5.20925440118452,30.8033494463789,3.80235727413986e-07,3.19246350053851e-06,"Intertidal-enriched","Metabolism; Energy metabolism; Sulfur metabolism"
"K03724",4.08661118066612,5.19028268948174,30.7899244501217,3.82124076517217e-07,3.19920356106886e-06,"Intertidal-enriched","Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins"
"K10901",4.34948533431995,7.72641976409067,30.649242128808,4.0250161371538e-07,3.36026134736324e-06,"Intertidal-enriched","Genetic Information Processing; Replication and repair; Homologous recombination | Genetic Information Processing; Replication and repair; Fanconi anemia pathway | Brite Hierarchies; Protein families: genetic information processing; DNA replication proteins | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins"
"K00643",4.0235729204266,4.84881443768064,30.6140446893548,4.07772340490094e-07,3.39464713961669e-06,"Intertidal-enriched","""Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"""
"K21298",-4.82560671480065,4.6606909891226,33.5023101357982,4.18665566768639e-07,3.47551387399205e-06,"Subtidal-enriched","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"K01474",4.07262623120369,5.29075611795193,30.5282128082601,4.20924828774314e-07,3.48445356853344e-06,"Intertidal-enriched","Metabolism; Amino acid metabolism; Arginine and proline metabolism"
"K00718",-4.69521696911468,4.64432267976151,33.3489036815622,4.39215196778945e-07,3.62567838909678e-06,"Subtidal-enriched","Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - lacto and neolacto series | Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - globo and isoglobo series | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking"
"K00626",3.30874418845343,6.81692656364531,30.3339618509335,4.52324948867371e-07,3.72346822433559e-06,"Intertidal-enriched","""Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Lipid metabolism; Synthesis and degradation of ketone bodies | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Tryptophan metabolism | Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis | Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation | Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"""
"K05245",-3.53306839783399,5.42467960083891,30.2766595132243,4.6204005310321e-07,3.79284689831521e-06,"Subtidal-enriched","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K22133",4.1810263898242,4.73692594056301,30.2294558038174,4.70203947669659e-07,3.84914176050691e-06,"Intertidal-enriched","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism"
"K10119",3.49237332520273,4.24193032200189,30.2107924628559,4.73472527918964e-07,3.86516216004761e-06,"Intertidal-enriched","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K00140",3.57317718808634,5.7478939784911,30.191956595874,4.76794997652259e-07,3.88153275713041e-06,"Intertidal-enriched","""Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism"""
"K12984",3.99174977731465,5.22968091501797,30.0237683600031,5.07544972451849e-07,4.12048218681983e-06,"Intertidal-enriched","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K03078",-3.26914568294758,5.64322677031741,30.0086627015184,5.10404644634392e-07,4.13231452675152e-06,"Subtidal-enriched","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism"
"K00101",4.24358017351678,4.96298985404722,29.7337507082991,5.6544237477006e-07,4.56536624232155e-06,"Intertidal-enriched","Metabolism; Carbohydrate metabolism; Pyruvate metabolism"
"K01428",3.68504626892251,4.46676568509254,29.7143583387513,5.69547922279526e-07,4.58595007365509e-06,"Intertidal-enriched","Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Amino acid metabolism; Arginine biosynthesis | Metabolism; Xenobiotics biodegradation and metabolism; Atrazine degradation | Human Diseases; Infectious diseases: Bacterial; Epithelial cell signaling in Helicobacter pylori infection"
"K01926",4.31396752109463,4.69746295988299,29.6873647683154,5.75313767057715e-07,4.61975387334901e-06,"Intertidal-enriched","Brite Hierarchies; Protein families: genetic information processing; Transcription factors"
"K19449",3.47304628111576,4.17311887710104,29.505047470502,6.15860453518252e-07,4.93190422966926e-06,"Intertidal-enriched","Brite Hierarchies; Protein families: genetic information processing; Transcription factors"
"K16345",3.31134237941936,4.12607739348935,29.4912026949268,6.19056997567368e-07,4.94406767433885e-06,"Intertidal-enriched","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K03812",-3.73851265878254,4.81270324614026,29.4838705249747,6.20756781970662e-07,4.9442438823447e-06,"Subtidal-enriched","Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis"
"K09472",4.38906323799193,5.08278759678013,29.4539191499441,6.27750235036873e-07,4.98646884812308e-06,"Intertidal-enriched","Metabolism; Amino acid metabolism; Arginine and proline metabolism"
"K06919",-3.01108286701607,9.27484915004644,29.3797321387259,6.45423177323165e-07,5.11307017089078e-06,"Subtidal-enriched","Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair"
"K06281",3.82066495955279,4.60103898836351,29.3230223556044,6.59276903023835e-07,5.20881778340815e-06,"Intertidal-enriched","Metabolism; Xenobiotics biodegradation and metabolism; Nitrotoluene degradation"
"K02029",3.89209516508965,6.05214442354437,29.2621650605341,6.74484108277224e-07,5.30054577891461e-06,"Intertidal-enriched","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K21366",-4.73159332902415,4.65343690912881,31.9961232125398,6.72876097731693e-07,5.30054577891461e-06,"Subtidal-enriched","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins"
"K18478",-4.99133994386235,4.75189797650086,31.9694164632925,6.78616694545074e-07,5.31883882666046e-06,"Subtidal-enriched","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"K07259",4.07565622647308,4.72040990331834,29.2308444515177,6.82450622574143e-07,5.3347002247374e-06,"Intertidal-enriched","Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins"
"K01232",-4.2363227575474,4.4341244890163,31.8537186407101,7.04080470119671e-07,5.48921996148855e-06,"Subtidal-enriched","Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism"
"K14447",3.91117326224795,5.03721864128843,29.1331282207903,7.07932190939908e-07,5.50468645567258e-06,"Intertidal-enriched","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism"
"K00641",4.16101278962099,5.10447920123627,29.0981086350612,7.17300522208115e-07,5.54825364553101e-06,"Intertidal-enriched","Metabolism; Energy metabolism; Sulfur metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism"
